"","UHS.Open","UHS.High","UHS.Low","UHS.Close","UHS.Volume","UHS.Adjusted"
"2001-01-02",27.5,27.5,24.875,25.171875,1878400,22.253
"2001-01-03",25.109375,27.25,24.9375,25.34375,2271600,22.40494
"2001-01-04",25.3125,25.5,20.671875,22.1875,6584000,19.614681
"2001-01-05",22.15625,23.359375,21.53125,22.03125,3984800,19.476553
"2001-01-08",22.015625,22.71875,21.71875,22.1875,2031600,19.614681
"2001-01-09",22.34375,22.46875,21.09375,21.09375,1933600,18.647772
"2001-01-10",21.875,23.625,21.75,22.921875,3023600,20.263895
"2001-01-11",23.125,23.328125,22.59375,22.78125,1950800,20.13958
"2001-01-12",22.78125,22.78125,21.6875,22.28125,1388800,19.697563
"2001-01-16",22.34375,22.75,21.5,21.8125,2137600,19.283167
"2001-01-17",21.8125,21.828125,20.75,21.203125,2511600,18.744465
"2001-01-18",21.703125,22.078125,20.375,20.5,3098000,18.122864
"2001-01-19",19.96875,20.15625,18.625,19.4375,6615600,17.183565
"2001-01-22",19.515625,21.0625,19.515625,20.40625,3137600,18.039986
"2001-01-23",20.4375,21.3125,20.4375,20.5,2856000,18.122864
"2001-01-24",20.625,20.625,19.46875,19.671875,3516400,17.390759
"2001-01-25",19.859375,20.0625,19.625,19.984375,3050400,17.66703
"2001-01-26",19.859375,21.375,19.859375,20.921875,2214000,18.495821
"2001-01-29",20.924999,20.924999,19.8125,20.3125,1892000,17.957106
"2001-01-30",20.3125,20.6875,20.1,20.35,1271600,17.990253
"2001-01-31",20.35,20.745001,20.174999,20.475,1528800,18.100754
"2001-02-01",20.475,20.950001,20.465,20.497499,1206000,18.120657
"2001-02-02",20.684999,21.184999,20.530001,20.7125,1364800,18.310724
"2001-02-05",20.9625,21.9375,20.842501,21.112499,1585200,18.664341
"2001-02-06",21.25,21.5,21.165001,21.5,1135200,19.006903
"2001-02-07",21.7075,22.525,21.7075,22.3125,1920800,19.725189
"2001-02-08",22.3125,22.4125,21.700001,21.827499,1419200,19.296423
"2001-02-09",21.549999,22.067499,21.4,22.004999,1652800,19.453344
"2001-02-12",22.0075,23,21.575001,22.775,1192800,20.134062
"2001-02-13",22.775,22.9375,22.375,22.764999,1010800,20.125217
"2001-02-14",22.887501,22.987499,22.15,22.252501,736000,19.672148
"2001-02-15",22.4125,22.475,21.1625,21.1625,993600,18.708546
"2001-02-16",20.9375,21.674999,20.9375,21.2875,1204400,18.819056
"2001-02-20",21.290001,21.6875,21.200001,21.6875,906000,19.172667
"2001-02-21",21.8125,21.8125,20.8125,20.8125,830000,18.39913
"2001-02-22",20.815001,21.15,20.5,20.514999,961200,18.136126
"2001-02-23",20.475,20.625,20.075001,20.475,906400,18.100754
"2001-02-26",20.487499,21.5,20.450001,21.3025,1613200,18.832306
"2001-02-27",21.25,21.875,21.25,21.825001,1371600,19.294216
"2001-02-28",21.825001,22.92,21.825001,22.4375,2164800,19.835697
"2001-03-01",22.440001,22.592501,22.272499,22.549999,1302000,19.93515
"2001-03-02",22.549999,24.012501,22.450001,23.200001,1812000,20.509775
"2001-03-05",23.450001,23.450001,22.262501,22.4025,1009200,19.804756
"2001-03-06",22.575001,22.6175,21.8125,22.16,1309600,19.59038
"2001-03-07",22.2225,22.5,21.5,21.612499,1209200,19.106359
"2001-03-08",21.737499,21.7875,21.1875,21.25,1752400,18.785902
"2001-03-09",21.225,21.407499,20.875,20.934999,1407200,18.507421
"2001-03-12",20.934999,21.4575,20,20.014999,2083200,17.694101
"2001-03-13",20.125,20.4375,19.3325,20.0275,2084400,17.705149
"2001-03-14",19.9025,20.532499,19.9025,20.530001,2849600,18.149391
"2001-03-15",20.674999,20.987499,20.674999,20.875,1149600,18.454382
"2001-03-16",20.877501,21.25,20.75,21.092501,882000,18.646656
"2001-03-19",21.094999,21.5,20.5,21.23,1389200,18.768211
"2001-03-20",21.23,21.612499,20.897499,20.897499,672800,18.47427
"2001-03-21",21.002501,21.122499,20.647499,21.122499,1047600,18.67318
"2001-03-22",21.25,21.25,20.360001,20.512501,2656400,18.133915
"2001-03-23",20.612499,20.91,20.612499,20.7125,1354400,18.310724
"2001-03-26",21,21.8375,20.940001,21.18,950400,18.724018
"2001-03-27",21.18,21.1875,20.5,20.772499,1280400,18.363766
"2001-03-28",20.725,20.75,20.2875,20.6875,1931600,18.288628
"2001-03-29",20.8125,21.747499,20.8125,21.747499,2272400,19.225697
"2001-03-30",22.2425,22.5625,21.7425,22.075001,2526800,19.51523
"2001-04-02",22.075001,22.3375,21.575001,21.58,728000,19.077629
"2001-04-03",21.6,21.725,21.1,21.387501,1014400,18.907457
"2001-04-04",21.75,22.7125,21.637501,22.7125,1854800,20.078806
"2001-04-05",22.775,22.9,22.262501,22.6075,1199200,19.985992
"2001-04-06",22.605,22.9375,22.415001,22.629999,1722800,20.005871
"2001-04-09",22.817499,23.112499,22.6875,22.975,660000,20.310871
"2001-04-10",22.725,23.25,22.4,23.075001,1803600,20.399271
"2001-04-11",23.012501,23.0375,21.9375,22.1,1060000,19.537329
"2001-04-12",22.1875,22.75,22,22.602501,704800,19.981569
"2001-04-16",22.625,23,22.252501,22.282499,923600,19.698671
"2001-04-17",22.4,23.1525,22.282499,23.1175,849200,20.436844
"2001-04-18",23.612499,24,22.0625,22.387501,2632800,19.791496
"2001-04-19",22.174999,22.237499,21.375,21.375,1664400,18.896402
"2001-04-20",21,21.3375,20.57,21.245001,2116000,18.781471
"2001-04-23",21.3025,21.5375,20.75,20.9,1149600,18.476484
"2001-04-24",21.125,21.549999,21,21.17,868800,18.715179
"2001-04-25",21.225,22.1525,21.225,21.924999,1051600,19.382616
"2001-04-26",22.049999,22.112499,21.6,21.690001,641600,19.174875
"2001-04-27",21.627501,21.997499,21.5875,21.8225,475200,19.292019
"2001-04-30",21.75,22.625,21.75,22.440001,1133600,19.8379
"2001-05-01",22.4025,22.41,21.4625,21.887501,1428000,19.349468
"2001-05-02",21.75,21.75,20.8125,21,1877200,18.564882
"2001-05-03",21.15,21.549999,20.375,21.41,1910000,18.927351
"2001-05-04",21.25,21.424999,20.25,20.575001,2548000,18.189165
"2001-05-07",20.637501,20.887501,20.424999,20.647499,994400,18.25326
"2001-05-08",20.647499,20.875,20.0625,20.075001,2170000,17.747145
"2001-05-09",20.200001,20.4125,20,20.174999,1327600,17.835552
"2001-05-10",20.1775,20.422501,20.040001,20.299999,862800,17.946056
"2001-05-11",20.15,20.870001,20.15,20.262501,649600,17.912909
"2001-05-14",20.4375,20.7125,20.219999,20.375,532000,18.01236
"2001-05-15",20.375,20.5,20.184999,20.5,487200,18.122864
"2001-05-16",20.4375,20.9125,20.362499,20.9125,603200,18.487541
"2001-05-17",20.85,20.852501,20.709999,20.75,844400,18.343866
"2001-05-18",20.745001,20.747499,20.309999,20.3125,1059200,17.957106
"2001-05-21",20.309999,20.3125,19.125,19.3125,2711200,17.073065
"2001-05-22",19.3125,19.9375,19.125,19.85,1719600,17.548239
"2001-05-23",19.612499,19.875,18.905001,18.907499,2314400,16.715023
"2001-05-24",19.025,19.737499,19.025,19.725,2054000,17.437733
"2001-05-25",19.725,20.3125,19.725,20.237499,1405600,17.890795
"2001-05-29",20.135,20.135,19.375,19.450001,1168400,17.194628
"2001-05-30",19.924999,19.924999,19.612499,19.6625,1551200,17.382481
"2001-05-31",20.025,20.25,19.9375,20,1159200,17.68084
"2001-06-01",20.025,20.049999,19.549999,19.6875,1047200,17.404585
"2001-06-04",20.450001,20.450001,20,20.15,790000,17.813442
"2001-06-05",20.35,21.25,20.245001,21.059999,1622400,18.617931
"2001-06-06",21.375,21.9,21.139999,21.655001,1320600,19.143929
"2001-06-07",21.655001,22.01,21.514999,21.75,1149600,19.227917
"2001-06-08",21.75,21.91,21.6,21.6,646400,19.095322
"2001-06-11",21.605,21.950001,21,21.440001,684000,18.953867
"2001-06-12",21.700001,22.299999,21.4,22.25,1318800,19.669931
"2001-06-13",22.125,22.5,21.799999,22.225,639800,19.647837
"2001-06-14",22.219999,22.219999,21.6,21.92,362400,19.378202
"2001-06-15",22.125,22.875,22,22.299999,901400,19.714142
"2001-06-18",22.625,23.525,22.6,23.375,1569400,20.664494
"2001-06-19",23.375,23.475,22.950001,23,441400,20.33297
"2001-06-20",23,23.375,22.924999,23.375,1069000,20.664494
"2001-06-21",23.5,23.65,23.200001,23.200001,789000,20.509775
"2001-06-22",23.075001,23.075001,22.325001,22.5,488600,19.890944
"2001-06-25",22.625,22.924999,22.254999,22.299999,313800,19.714142
"2001-06-26",22.299999,22.424999,21.75,22.385,634800,19.789288
"2001-06-27",22.389999,23.195,22.34,23.01,401000,20.34181
"2001-06-28",23.01,23.1,22.745001,22.815001,1069600,20.16942
"2001-06-29",22.93,23.625,22.75,22.75,1854400,20.111959
"2001-07-02",22.85,22.950001,22.174999,22.295,843600,19.709715
"2001-07-03",22.35,22.469999,22.125,22.25,201000,19.669931
"2001-07-05",22.375,22.775,21.875,22,938800,19.448923
"2001-07-06",22.125,22.85,22.125,22.799999,471200,20.156157
"2001-07-09",22.799999,24.25,22.799999,24.129999,1987000,21.331936
"2001-07-10",24.174999,24.5,23.74,24.120001,1107200,21.323099
"2001-07-11",24.25,25.35,24.25,24.885,1842800,21.999392
"2001-07-12",25,25,24.65,24.99,983600,22.092209
"2001-07-13",25,25,24.655001,24.889999,669200,22.003811
"2001-07-16",24.889999,26.299999,24.889999,26.299999,1997200,23.250307
"2001-07-17",26.299999,26.700001,25.4,25.950001,2835800,22.940897
"2001-07-18",26.450001,26.6,25.280001,25.5,3770000,22.543076
"2001-07-19",25.375,25.4,24.700001,24.844999,1541600,21.964027
"2001-07-20",25,25.200001,24.690001,24.924999,816200,22.03475
"2001-07-23",24.924999,25.174999,23.5,24.35,1940800,21.526421
"2001-07-24",24.799999,25,24.125,24.5,2309400,21.659031
"2001-07-25",24.75,24.75,23.455,23.825001,1562200,21.062307
"2001-07-26",23.825001,24.870001,23.825001,24.42,731000,21.588306
"2001-07-27",24.424999,24.799999,24.275,24.275,800800,21.460119
"2001-07-30",24.4,24.865,24.325001,24.700001,788000,21.835852
"2001-07-31",24.825001,24.855,24.33,24.75,787200,21.880045
"2001-08-01",24.875,24.905001,24.375,24.695,848200,21.831419
"2001-08-02",24.795,24.855,23.299999,24.52,1065200,21.676714
"2001-08-03",24.525,24.525,23.475,24.275,509400,21.460119
"2001-08-06",24.4,24.5,23.875,24.26,487600,21.446857
"2001-08-07",24.209999,24.85,24.004999,24.65,635000,21.791634
"2001-08-08",24.65,24.825001,24,24.254999,851800,21.442448
"2001-08-09",24.254999,24.625,24.219999,24.219999,667400,21.411501
"2001-08-10",24.25,24.674999,24.25,24.674999,1038800,21.813736
"2001-08-13",24.674999,25.35,24.66,24.825001,582600,21.946342
"2001-08-14",24.9,25.1,24.125,24.225,676600,21.415922
"2001-08-15",24.275,24.639999,24.275,24.42,492400,21.588306
"2001-08-16",24.4,24.85,24.25,24.6,498200,21.747435
"2001-08-17",24.605,24.635,24.325001,24.4,398200,21.570627
"2001-08-20",24.4,24.799999,24.4,24.74,900600,21.871208
"2001-08-21",24.674999,24.725,24.23,24.25,536200,21.438015
"2001-08-22",24.225,24.65,24.174999,24.575001,485800,21.725336
"2001-08-23",24.6,24.875,24.5,24.5,1037800,21.659031
"2001-08-24",24.525,24.525,24.094999,24.15,698200,21.349617
"2001-08-27",24.075001,24.674999,24,24.120001,675800,21.323099
"2001-08-28",24.245001,24.25,23.59,24.025,825400,21.239111
"2001-08-29",24.375,24.5,24,24.08,803000,21.287743
"2001-08-30",24.049999,24.5,23.934999,24.004999,632200,21.221432
"2001-08-31",24.049999,24.049999,23.549999,23.65,984400,20.907595
"2001-09-04",23.575001,24.15,23.525,24,808200,21.217012
"2001-09-05",23.950001,24.15,23.9,23.99,452800,21.208172
"2001-09-06",23.875,24.525,23.825001,24.049999,601800,21.261213
"2001-09-07",24,24,23.6,23.844999,479600,21.079981
