"","VMC.Open","VMC.High","VMC.Low","VMC.Close","VMC.Volume","VMC.Adjusted"
"2017-11-01",122.550003,122.699997,120.080002,121.019997,1788500,118.973846
"2017-11-02",122.860001,128.770004,122.269997,124.269997,3874700,122.168892
"2017-11-03",123.800003,126.459999,123.089996,126.43,1557900,124.292374
"2017-11-06",126.199997,126.43,123.650002,124.610001,1000100,122.503151
"2017-11-07",NA,NA,NA,NA,NA,NA
"2017-11-08",NA,NA,NA,NA,NA,NA
"2017-11-09",NA,NA,NA,NA,NA,NA
"2017-11-10",NA,NA,NA,NA,NA,NA
"2017-11-13",NA,NA,NA,NA,NA,NA
"2017-11-14",NA,NA,NA,NA,NA,NA
"2017-11-15",NA,NA,NA,NA,NA,NA
"2017-11-16",NA,NA,NA,NA,NA,NA
"2017-11-17",NA,NA,NA,NA,NA,NA
"2017-11-20",NA,NA,NA,NA,NA,NA
"2017-11-21",NA,NA,NA,NA,NA,NA
"2017-11-22",NA,NA,NA,NA,NA,NA
"2017-11-24",NA,NA,NA,NA,NA,NA
"2017-11-27",NA,NA,NA,NA,NA,NA
"2017-11-28",NA,NA,NA,NA,NA,NA
"2017-11-29",NA,NA,NA,NA,NA,NA
"2017-11-30",NA,NA,NA,NA,NA,NA
"2017-12-01",NA,NA,NA,NA,NA,NA
"2017-12-04",NA,NA,NA,NA,NA,NA
"2017-12-05",NA,NA,NA,NA,NA,NA
"2017-12-06",NA,NA,NA,NA,NA,NA
"2017-12-07",NA,NA,NA,NA,NA,NA
"2017-12-08",NA,NA,NA,NA,NA,NA
"2017-12-11",NA,NA,NA,NA,NA,NA
"2017-12-12",NA,NA,NA,NA,NA,NA
"2017-12-13",NA,NA,NA,NA,NA,NA
"2017-12-14",NA,NA,NA,NA,NA,NA
"2017-12-15",NA,NA,NA,NA,NA,NA
"2017-12-18",NA,NA,NA,NA,NA,NA
"2017-12-19",NA,NA,NA,NA,NA,NA
"2017-12-20",NA,NA,NA,NA,NA,NA
"2017-12-21",NA,NA,NA,NA,NA,NA
"2017-12-22",NA,NA,NA,NA,NA,NA
"2017-12-26",NA,NA,NA,NA,NA,NA
"2017-12-27",NA,NA,NA,NA,NA,NA
"2017-12-28",NA,NA,NA,NA,NA,NA
"2017-12-29",NA,NA,NA,NA,NA,NA
"2018-01-02",129.75,132.320007,128.960007,131.869995,1869700,129.640396
"2018-01-03",132.589996,135,132.229996,134.289993,2600900,132.01947
"2018-01-04",135.080002,135.449997,132.550003,133.380005,1325900,131.124863
"2018-01-05",133.449997,134,130.860001,131.899994,1285300,129.669891
"2018-01-08",131.899994,134.080002,129.800003,133.940002,993300,131.675385
"2018-01-09",133.839996,135.600006,133.490005,134.139999,1229000,131.872009
"2018-01-10",133.240005,133.729996,131.460007,132.399994,1330800,130.161423
"2018-01-11",133.369995,135.889999,132.660004,135.179993,916300,132.894409
"2018-01-12",135.270004,135.350006,133.610001,133.970001,915900,131.704895
"2018-01-16",134.350006,136.320007,132.940002,133.690002,1602800,131.429611
"2018-01-17",134.559998,135.449997,133.710007,134.580002,698100,132.304565
"2018-01-18",134.850006,136.490005,134.179993,135.160004,1371700,132.874771
"2018-01-19",135.889999,137.649994,134.429993,135.029999,1428300,132.746964
"2018-01-22",135.199997,135.199997,132.020004,133,1443600,130.751297
"2018-01-23",132.759995,135.220001,131.800003,134.880005,1118200,132.599503
"2018-01-24",134.699997,136.960007,133.320007,135.490005,1297900,133.199188
"2018-01-25",136.110001,139.190002,135.240005,138.539993,1094000,136.197617
"2018-01-26",139.020004,141.199997,138.539993,141.110001,1570800,138.724167
"2018-01-29",141,141,138.179993,138.919998,1400900,136.571198
"2018-01-30",138.229996,140.809998,137.520004,139.830002,1782800,137.46582
"2018-01-31",140.490005,140.490005,132.75,135.399994,2190500,133.110703
"2018-02-01",134.610001,136.940002,133.919998,134.229996,2100200,131.96048
"2018-02-02",132.899994,133.850006,129.990005,131,1861500,128.78511
"2018-02-05",130.130005,131.289993,123.07,125.199997,2381000,123.08316
"2018-02-06",123.129997,128.660004,122.739998,126.779999,1746600,124.636452
"2018-02-07",125.919998,131.270004,125.629997,128.240005,1551700,126.071777
"2018-02-08",128.479996,128.619995,121.400002,121.470001,1734200,119.416229
"2018-02-09",122.309998,126.120003,119.339996,125,1390400,122.886551
"2018-02-12",126.400002,128.410004,125.379997,127.160004,1613800,125.01004
"2018-02-13",128.199997,132.029999,128,129.369995,1688200,127.182663
"2018-02-14",128.070007,130.059998,126.480003,129.619995,1333200,127.428421
