"","VZ.Open","VZ.High","VZ.Low","VZ.Close","VZ.Volume","VZ.Adjusted"
"2001-01-02",44.628891,45.415798,43.898193,45.190968,5242800,18.312319
"2001-01-03",45.640629,49.237923,45.415798,47.77652,9089100,19.360046
"2001-01-04",49.294128,49.912415,48.675846,49.181713,6909100,19.929461
"2001-01-05",49.799999,49.912415,48.732052,49.069298,5302300,19.883902
"2001-01-08",48.900677,49.069298,47.720314,48.788261,4672100,19.926359
"2001-01-09",47.888935,51.092773,47.888935,49.912415,5758400,20.3855
"2001-01-10",49.687584,51.373814,49.406544,50.530697,4506700,20.638021
"2001-01-11",50.530697,51.092773,50.02483,50.137245,4297900,20.477327
"2001-01-12",50.137245,50.362076,48.788261,49.912415,5852200,20.3855
"2001-01-16",49.799999,49.856205,47.888935,48.900677,5155400,19.972281
"2001-01-17",48.900677,49.237923,48.113766,48.507221,6213900,19.811579
"2001-01-18",48.507221,51.148983,48.507221,50.137245,5716800,20.477327
"2001-01-19",50.137245,50.474491,49.237923,49.799999,4718000,20.339588
"2001-01-22",49.856205,49.856205,47.214443,48.507221,4795800,19.811579
"2001-01-23",48.732052,48.732052,47.270653,48.394806,4943100,19.765663
"2001-01-24",48.900677,48.900677,45.865459,46.652367,7255900,19.054016
"2001-01-25",46.034084,46.427536,44.741306,46.034084,5202800,18.801491
"2001-01-26",46.764782,47.158237,44.909931,46.652367,4930100,19.054016
"2001-01-29",46.656864,48.554436,46.414047,47.915916,4813500,19.570082
"2001-01-30",47.691086,48.545441,47.070553,48.464504,4223800,19.79414
"2001-01-31",48.248665,49.417786,47.879944,49.417786,5237100,20.183487
"2001-02-01",49.192955,49.462753,48.203701,49.462753,5903300,20.201847
"2001-02-02",47.75404,47.942898,46.135258,46.764782,10135500,19.099926
"2001-02-05",46.764782,47.259411,46.324116,47.214443,6146400,19.283579
"2001-02-06",47.619141,48.923157,47.439274,48.923157,4177900,19.981461
"2001-02-07",48.383564,48.40155,47.610146,47.619141,4207500,19.448864
"2001-02-08",47.888935,47.888935,47.304379,47.799004,4875000,19.522326
"2001-02-09",48.023834,48.554436,46.764782,47.205452,4201700,19.279907
"2001-02-12",47.205452,48.518463,47.151493,48.068802,4451900,19.632513
"2001-02-13",47.97887,48.815239,47.439274,48.743294,3953600,19.908007
"2001-02-14",48.338596,48.383564,46.908676,46.944649,4374000,19.173384
"2001-02-15",47.079548,48.293633,46.135258,46.863708,5344200,19.140331
"2001-02-16",46.647873,47.430283,46.315121,47.23243,4685500,19.290926
"2001-02-20",46.764782,47.268406,45.424793,46.270157,5115400,18.897907
"2001-02-21",45.865459,46.000359,43.482254,44.066814,6316700,17.998011
"2001-02-22",44.156746,44.984123,43.347359,44.066814,6509500,17.998011
"2001-02-23",43.21246,44.399563,42.160252,44.174732,6887100,18.042078
"2001-02-26",45.056068,45.955395,43.958897,45.820496,4712200,18.714249
"2001-02-27",46.09029,46.270157,45.190968,45.73056,3426400,18.67753
