"","Open","High","Low","Close","Volume"
"2001-01-02",17.750242,18.537149,17.019544,18.312319,5242800
"2001-01-03",17.224155,20.821449,16.999324,19.360046,9089100
"2001-01-04",20.041876,20.660163,19.423594,19.929461,6909100
"2001-01-05",20.614603,20.727019,19.546656,19.883902,5302300
"2001-01-08",20.038775,20.207396,18.858412,19.926359,4672100
"2001-01-09",18.36202,21.565858,18.36202,20.3855,5758400
"2001-01-10",19.794908,21.481138,19.513868,20.638021,4506700
"2001-01-11",20.870779,21.432855,20.364912,20.477327,4297900
"2001-01-12",20.61033,20.835161,19.261346,20.3855,5852200
"2001-01-16",20.871603,20.927809,18.960539,19.972281,5155400
"2001-01-17",20.205035,20.542281,19.418124,19.811579,6213900
"2001-01-18",18.847303,21.489065,18.847303,20.477327,5716800
"2001-01-19",20.676834,21.01408,19.777512,20.339588,4718000
"2001-01-22",21.160563,21.160563,18.518801,19.811579,4795800
"2001-01-23",20.102909,20.102909,18.64151,19.765663,4943100
"2001-01-24",21.302326,21.302326,18.267108,19.054016,7255900
"2001-01-25",18.801491,19.194943,17.508713,18.801491,5202800
"2001-01-26",19.166431,19.559886,17.31158,19.054016,4930100
"2001-01-29",18.31103,20.208602,18.068213,19.570082,4813500
"2001-01-30",19.020722,19.875077,18.400189,19.79414,4223800
"2001-01-31",19.014366,20.183487,18.645645,20.183487,5237100
"2001-02-01",19.932049,20.201847,18.942795,20.201847,5903300
"2001-02-02",20.089184,20.278042,18.470402,19.099926,10135500
"2001-02-05",18.833918,19.328547,18.393252,19.283579,6146400
"2001-02-06",18.677445,19.981461,18.497578,19.981461,4177900
"2001-02-07",20.213287,20.231273,19.439869,19.448864,4207500
"2001-02-08",19.612257,19.612257,19.027701,19.522326,4875000
"2001-02-09",20.098289,20.628891,18.839237,19.279907,4201700
"2001-02-12",18.769163,20.082174,18.715204,19.632513,4451900
"2001-02-13",19.143583,19.979952,18.603987,19.908007,3953600
"2001-02-14",20.567331,20.612299,19.137411,19.173384,4374000
"2001-02-15",19.356171,20.570256,18.411881,19.140331,5344200
"2001-02-16",18.706369,19.488779,18.373617,19.290926,4685500
"2001-02-20",19.392532,19.896156,18.052543,18.897907,5115400
"2001-02-21",19.796656,19.931556,17.413451,17.998011,6316700
"2001-02-22",18.087943,18.91532,17.278556,17.998011,6509500
"2001-02-23",17.079806,18.266909,16.027598,18.042078,6887100
"2001-02-26",17.949821,18.849148,16.85265,18.714249,4712200
"2001-02-27",19.03726,19.217127,18.137938,18.67753,3426400
"2001-02-28",19.845409,19.845409,17.731998,18.18166,4955000
"2001-03-01",18.565737,18.610701,17.081854,17.792318,4100900
"2001-03-02",16.422655,18.58103,15.604269,18.185328,5189800
"2001-03-05",18.730661,18.730661,17.489595,17.678453,4536900
"2001-03-06",19.275579,19.275579,17.557875,17.674784,4712200
"2001-03-07",18.253012,18.253012,17.326708,17.542547,4168100
"2001-03-08",17.325409,18.224731,17.181518,18.089832,3736000
"2001-03-09",18.39855,18.416536,17.409292,17.5352,3863400
"2001-03-12",17.378395,18.808319,17.243496,17.432354,3931900
"2001-03-13",16.73312,18.351902,16.283458,18.064121,4824500
"2001-03-14",18.215923,18.575653,16.282379,17.226669,5588900
"2001-03-15",16.704776,17.649067,15.985317,17.649067,4957700
"2001-03-16",16.773077,18.211993,16.773077,17.384615,9618500
"2001-03-19",16.173271,18.061847,15.94844,17.95393,4786400
"2001-03-20",18.141434,18.186402,17.251106,17.278084,4552700
"2001-03-21",17.287232,17.961724,16.702672,16.936497,5723500
"2001-03-22",16.536358,17.075951,15.4212,16.896088,6587000
"2001-03-23",15.04169,17.245029,14.412162,17.245029,5984800
"2001-03-26",16.821302,17.630693,16.326677,17.630693,5553600
"2001-03-27",16.28331,18.756447,15.833649,18.405712,5909900
"2001-03-28",19.140821,19.680414,15.867285,17.333181,6788400
"2001-03-29",16.175312,18.198788,16.175312,17.704163,5517200
"2001-03-30",17.838405,18.288067,16.579353,18.108204,5332500
"2001-04-02",18.8587,19.173462,17.392804,17.869446,5687600
"2001-04-03",18.428068,18.652899,17.393847,17.483778,6181700
"2001-04-04",17.376719,18.500872,16.693235,17.961279,7623500
"2001-04-05",16.832676,18.18166,15.933353,18.18166,9124200
"2001-04-06",17.827122,18.483628,16.352234,18.321751,7485300
"2001-04-09",17.404073,18.708089,17.341119,18.618158,6172200
"2001-04-10",18.42522,19.324543,18.371261,18.910854,7847400
"2001-04-11",18.962054,19.204871,18.33253,18.692259,7520800
"2001-04-12",17.650423,19.359136,17.245729,19.296186,5985800
"2001-04-16",19.338495,20.120905,18.232324,19.266546,4101000
"2001-04-17",18.340948,19.68094,18.161085,19.6,5572600
"2001-04-18",19.499565,20.263993,18.510311,19.733391,7714600
"2001-04-19",20.047147,20.182046,18.482328,19.822317,4766000
"2001-04-20",19.650303,20.054997,19.497418,19.659298,7051700
"2001-04-23",19.190036,19.729629,17.661186,19.603725,6019600
"2001-04-24",19.656602,20.546929,19.521703,19.566671,4446900
"2001-04-25",19.608411,20.543707,19.401567,20.44478,8626800
"2001-04-26",20.973318,21.557879,20.505671,20.559629,8094200
"2001-04-27",20.457579,20.682409,19.783087,20.637442,5095900
"2001-04-30",21.105494,21.663073,19.981341,20.40402,5908400
"2001-05-01",19.394462,21.112171,19.070709,21.004253,5669500
"2001-05-02",20.893198,21.162992,20.40756,21.082052,5101200
"2001-05-03",21.438919,21.438919,19.946045,20.674496,4707800
"2001-05-04",20.269802,21.304024,19.766182,20.674496,5900800
"2001-05-07",20.174782,21.119068,19.72512,21.056118,4880800
"2001-05-08",21.814478,21.841459,20.573412,20.600393,5251400
"2001-05-09",21.541676,21.541676,18.843709,19.94088,28522500
"2001-05-10",20.454472,20.49944,19.55515,19.788975,8986300
"2001-05-11",19.933366,20.122224,19.348809,19.744511,5809700
"2001-05-14",19.676912,19.982683,19.479063,19.955702,5214600
"2001-05-15",19.917642,20.403276,19.692812,20.007574,6144300
"2001-05-16",19.126936,20.682764,19.126936,20.341021,6749400
"2001-05-17",21.049686,21.076664,19.880566,19.907543,5926500
"2001-05-18",19.877989,20.192751,19.680136,20.066847,3444900
"2001-05-21",20.327765,20.417696,19.45542,20.255816,4913800
"2001-05-22",20.36475,20.36475,19.843144,20.166901,3398900
"2001-05-23",20.346075,20.840704,19.491716,19.896414,4846300
"2001-05-24",20.049866,20.355637,19.456314,19.977921,6347900
"2001-05-25",20.248266,20.37417,19.996454,19.996454,5186900
"2001-05-29",19.952134,20.581659,19.610391,20.203943,4585100
"2001-05-30",20.007574,20.32234,19.692812,20.007574,3777400
"2001-05-31",19.558085,20.34949,19.342249,20.322512,5102600
"2001-06-01",20.335703,20.7404,19.445375,20.281744,4536200
"2001-06-04",20.481321,20.877024,19.941729,20.526285,5087300
"2001-06-05",20.068708,20.563337,20.02374,20.563337,4506200
"2001-06-06",21.309041,21.309041,19.897103,20.166901,5143700
"2001-06-07",20.197872,20.602569,19.703243,19.748211,6699400
"2001-06-08",19.651449,20.047147,18.922994,19.822317,3486800
"2001-06-11",19.478516,20.10804,19.32563,19.937172,3461000
"2001-06-12",19.282886,20.29013,19.130001,20.137245,4053100
"2001-06-13",20.533865,20.713728,19.769438,19.859373,2814600
"2001-06-14",20.306336,20.423249,19.685803,19.766743,3986600
"2001-06-15",19.748041,20.24267,19.29838,19.433279,7854900
"2001-06-18",19.975469,19.975469,19.247018,19.33695,3335600
"2001-06-19",19.663336,20.112997,18.94388,19.30361,4367600
"2001-06-20",18.650399,19.639657,18.650399,19.540731,5327000
"2001-06-21",18.676943,19.747137,18.299227,19.711164,5438800
"2001-06-22",19.740125,20.045892,19.380395,19.470327,4896800
"2001-06-25",20.046803,20.09177,19.156475,19.192448,4088300
"2001-06-26",17.928351,19.960818,17.928351,19.63706,5480400
"2001-06-27",19.917294,20.007225,19.125889,19.377701,3935200
"2001-06-28",19.224551,20.168841,19.170592,19.86307,5558200
"2001-06-29",19.732385,20.910497,19.399637,19.822317,9365700
"2001-07-02",19.362248,20.153652,19.25433,20.144661,4462100
"2001-07-03",19.912012,20.388654,19.552282,20.370668,2767000
"2001-07-05",20.772001,20.852938,20.007574,20.007574,4760400
"2001-07-06",20.461395,20.821125,19.894821,19.894821,4654100
"2001-07-09",19.358071,20.671082,19.340084,20.167458,3924700
"2001-07-10",19.986092,20.642598,19.788239,20.615616,6548800
"2001-07-11",19.649555,21.762962,19.649555,20.854645,9115700
"2001-07-12",21.06872,21.167646,20.547113,20.70899,5093400
"2001-07-13",20.823153,21.083956,20.454428,20.634295,4069600
"2001-07-16",20.697184,21.308721,20.445372,20.877047,4177500
"2001-07-17",20.937042,21.656502,20.757179,21.089928,9305200
"2001-07-18",21.0288,21.586379,20.44424,20.992828,4717500
"2001-07-19",21.023861,21.563457,20.727085,21.347618,6362400
"2001-07-20",21.295698,21.646433,20.720129,20.962946,5505300
"2001-07-23",21.440251,21.458237,20.450993,20.540928,4461000
"2001-07-24",20.360738,20.882345,19.875101,20.189867,4337400
"2001-07-25",19.60984,21.003792,19.474941,20.850906,4390400
"2001-07-26",19.904647,21.073764,19.904647,20.992828,5008800
"2001-07-27",20.756102,21.16979,20.432348,20.962946,4935700
"2001-07-30",20.948851,21.398512,20.66107,20.921873,3822400
"2001-07-31",20.088568,21.167757,20.088568,20.223467,11651800
"2001-08-01",19.702133,21.042122,19.432335,20.817291,6650500
"2001-08-02",21.253514,21.469349,20.120365,20.354191,5313300
"2001-08-03",20.740421,20.785389,19.436401,20.047943,4804700
"2001-08-06",20.101666,20.533341,19.652004,19.894821,4621200
"2001-08-07",19.943918,20.27667,19.593183,20.006872,3459200
"2001-08-08",20.262317,20.514129,19.614807,19.812656,3684900
"2001-08-09",19.790544,19.925439,19.250948,19.700609,4700900
"2001-08-10",19.080103,20.249224,18.684404,20.141306,4449400
"2001-08-13",19.817163,20.077966,19.682264,20.033003,3138700
"2001-08-14",19.796131,20.092907,19.616268,20.047943,3183500
"2001-08-15",20.566019,20.772863,19.621729,19.756628,4266200
"2001-08-16",19.32146,19.950988,19.231529,19.906021,2645900
