"","Open","High","Low","Close","Volume"
"2001-01-02",2.120525,2.120525,1.870525,1.870525,703000
"2001-01-03",1.837462,2.274962,1.774962,2.274962,1685100
"2001-01-04",2.441346,2.753846,2.316346,2.628846,3339400
"2001-01-05",2.628846,2.691346,2.378846,2.628846,1200900
"2001-01-08",2.628846,2.691346,2.503846,2.628846,849200
"2001-01-09",2.569119,2.944119,2.506619,2.881619,1447100
"2001-01-10",2.833838,3.083838,2.646338,3.083838,1467600
"2001-01-11",2.934948,3.184948,2.809948,3.184948,1566600
"2001-01-12",3.083838,3.208838,2.896338,3.083838,733500
"2001-01-16",2.958838,3.146338,2.958838,3.083838,381900
"2001-01-17",3.083838,3.208838,3.021338,3.083838,807500
"2001-01-18",3.134393,3.196893,2.946893,3.134393,1458600
"2001-01-19",3.357729,3.357729,2.857729,2.982729,4651500
"2001-01-22",2.851331,3.538831,2.726331,3.538831,2872000
"2001-01-23",3.380769,4.005769,3.193269,3.943269,2459000
"2001-01-24",3.883542,4.446042,3.758542,4.196042,4090100
"2001-01-25",4.267714,4.267714,3.767714,3.892714,3549800
"2001-01-26",3.961612,4.024112,3.274112,3.336612,3557500
"2001-01-29",3.259939,3.679939,3.219939,3.639939,1880400
"2001-01-30",3.686426,3.936426,3.496426,3.866426,1956000
"2001-01-31",3.870864,4.380864,3.840864,4.270864,4315900
"2001-02-01",4.207177,4.967177,3.967177,4.117177,1367000
"2001-02-02",4.101715,4.351715,3.701715,3.801715,1390700
"2001-02-05",3.662603,4.052603,3.492603,3.882603,755800
"2001-02-06",4.01465,4.07465,3.67465,3.70465,671100
"2001-02-07",3.746697,3.746697,3.316697,3.526697,1952300
"2001-02-08",3.540077,3.650077,3.430077,3.470077,761300
"2001-02-09",3.437277,3.447277,3.247277,3.397277,1081400
"2001-02-12",3.221135,4.011135,3.221135,3.931135,1647600
"2001-02-13",4.090556,4.240556,3.990556,4.060556,2611700
"2001-02-14",4.06349,4.06349,3.67349,3.96349,746500
"2001-02-15",3.85042,4.26042,3.85042,4.23042,2118600
"2001-02-16",3.9982,4.0482,3.8982,4.0282,847900
"2001-02-20",3.889939,4.119939,3.589939,3.639939,1210900
"2001-02-21",3.576254,3.766254,3.346254,3.486254,1551900
"2001-02-22",3.378609,3.668609,3.318609,3.518609,832900
"2001-02-23",3.428165,3.628165,3.338165,3.478165,617400
"2001-02-26",3.503763,3.643763,3.423763,3.623763,610500
"2001-02-27",3.580077,3.590077,3.470077,3.470077,271100
"2001-02-28",3.502568,3.592568,3.212568,3.332568,1362300
"2001-03-01",3.334171,3.334171,2.514171,3.114171,3068200
"2001-03-02",2.904615,3.404615,2.724615,3.154615,2181500
"2001-03-05",3.253728,3.333728,3.023728,3.073728,497400
"2001-03-06",3.258745,3.418745,3.208745,3.348745,1320900
"2001-03-07",3.30523,3.57523,3.25523,3.57523,1024100
"2001-03-08",3.519053,3.559053,3.309053,3.559053,772000
"2001-03-09",3.397277,3.447277,3.297277,3.397277,1018600
"2001-03-12",3.41639,3.41639,3.19639,3.31639,1398000
"2001-03-13",3.323728,3.353728,3.023728,3.073728,1745000
"2001-03-14",2.864171,3.294171,2.864171,3.114171,826300
"2001-03-15",3.110657,3.450657,3.110657,3.340657,1291300
"2001-03-16",3.41168,3.43168,3.23168,3.25168,953500
"2001-03-19",3.137722,3.487722,3.097722,3.437722,1047600
"2001-03-20",3.484615,3.554615,3.154615,3.154615,684500
"2001-03-21",3.141236,3.291236,3.111236,3.211236,911900
"2001-03-22",3.205503,3.285503,3.135503,3.235503,1097000
"2001-03-23",3.243455,3.423455,3.243455,3.413455,569500
"2001-03-26",3.447277,3.497277,3.297277,3.397277,465500
"2001-03-27",3.400965,3.590965,3.310965,3.550965,708300
"2001-03-28",3.522431,3.522431,3.352431,3.502431,655100
"2001-03-29",3.518473,3.858473,3.468473,3.688473,1154400
"2001-03-30",3.550248,3.850248,3.490248,3.850248,888400
"2001-04-02",3.782603,3.882603,3.432603,3.882603,949400
"2001-04-03",3.939633,3.939633,3.189633,3.429633,1049100
"2001-04-04",3.464171,3.494171,3.014171,3.114171,2200200
"2001-04-05",3.162568,3.342568,3.122568,3.332568,1174200
"2001-04-06",3.285503,3.325503,3.165503,3.235503,614100
"2001-04-09",3.227858,3.327858,3.217858,3.267858,444800
"2001-04-10",3.40745,3.86745,3.40745,3.77745,2704100
"2001-04-11",3.784513,3.934513,3.684513,3.874513,2313900
"2001-04-12",3.842467,4.072467,3.742467,4.052467,3015900
"2001-04-16",3.968509,4.268509,3.938509,4.238509,2422200
"2001-04-17",4.194822,4.334822,4.044822,4.084822,1775200
"2001-04-18",4.089396,4.559396,4.029396,4.319396,3587300
"2001-04-19",4.273663,4.353663,4.123663,4.343663,1590100
"2001-04-20",4.381443,4.441443,4.071443,4.141443,778800
"2001-04-23",4.158644,4.178644,4.038644,4.068644,1227800
"2001-04-24",4.085264,4.175264,3.925264,4.125264,1114000
"2001-04-25",4.102331,4.252331,4.052331,4.222331,583400
"2001-04-26",4.222911,4.262911,4.052911,4.092911,686600
"2001-04-27",4.134822,4.254822,4.034822,4.084822,891700
"2001-04-30",4.033219,4.303219,4.033219,4.303219,776100
"2001-05-01",4.230725,4.440725,4.090725,4.440725,1802500
"2001-05-02",4.375573,4.475573,4.275573,4.335573,913600
"2001-05-03",4.279841,4.399841,4.219841,4.359841,458700
"2001-05-04",4.321306,4.321306,4.131306,4.311306,406200
"2001-05-07",4.261306,4.381306,4.181306,4.311306,715100
"2001-05-08",4.308509,4.328509,4.168509,4.238509,300500
"2001-05-09",4.193355,4.223355,4.033355,4.133355,384200
"2001-05-10",4.154822,4.174822,3.994822,4.084822,876000
"2001-05-11",4.100112,4.100112,4.000112,4.020112,619800
"2001-05-14",4.013934,4.053934,3.953934,4.003934,542600
"2001-05-15",3.956288,4.046288,3.956288,4.036288,269500
"2001-05-16",3.966598,4.246598,3.946598,4.246598,914500
"2001-05-17",4.127177,4.247177,4.077177,4.117177,846700
"2001-05-18",4.110556,4.140556,4.040556,4.060556,311600
"2001-05-21",4.045264,4.125264,3.925264,4.125264,530200
"2001-05-22",4.109667,4.179667,3.959667,3.979667,825600
"2001-05-23",3.989225,4.009225,3.929225,3.939225,432000
"2001-05-24",3.96349,3.96349,3.81349,3.96349,309900
"2001-05-25",3.989225,4.009225,3.869225,3.939225,232600
"2001-05-29",3.939939,4.039939,3.589939,3.639939,529300
"2001-05-30",3.643455,3.643455,3.373455,3.413455,1153700
"2001-05-31",3.426254,3.586254,3.396254,3.486254,495200
"2001-06-01",3.511408,3.651408,3.451408,3.591408,432500
"2001-06-04",3.614787,3.764787,3.414787,3.534787,525500
"2001-06-05",3.460965,3.590965,3.310965,3.550965,1175000
"2001-06-06",3.675946,3.705946,3.275946,3.275946,4109200
"2001-06-07",3.335503,3.395503,3.175503,3.235503,5389200
"2001-06-08",3.239325,3.329325,3.089325,3.219325,1130900
"2001-06-11",3.310041,3.310041,2.920041,2.920041,1581200
"2001-06-12",2.981065,3.051065,2.791065,2.831065,1688300
"2001-06-13",2.971201,3.021201,2.601201,2.661201,1762900
"2001-06-14",2.584579,2.684579,2.364579,2.604579,2670900
"2001-06-15",2.536798,2.836798,2.486798,2.806798,545100
"2001-06-18",2.777514,2.847514,2.507514,2.507514,615800
"2001-06-19",2.607514,2.747514,2.507514,2.507514,452300
"2001-06-20",2.46649,2.71649,2.46649,2.59649,841500
"2001-06-21",2.584443,2.844443,2.584443,2.774443,445800
"2001-06-22",2.794,2.844,2.704,2.734,342400
"2001-06-25",2.798402,2.838402,2.568402,2.588402,992400
"2001-06-26",2.650177,2.800177,2.630177,2.750177,706000
"2001-06-27",2.800621,2.880621,2.660621,2.790621,419800
"2001-06-28",2.772396,3.002396,2.762396,2.952396,603900
"2001-06-29",2.825059,3.245059,2.735059,3.195059,1253800
"2001-07-02",3.286798,3.286798,2.806798,2.806798,1046500
"2001-07-03",2.845331,2.915331,2.815331,2.855331,193200
"2001-07-05",2.79342,2.92342,2.78342,2.86342,548100
"2001-07-06",2.895024,2.895024,2.645024,2.645024,353000
"2001-07-09",2.629733,2.749733,2.619733,2.709733,417700
"2001-07-10",2.723692,2.903692,2.523692,2.523692,734000
"2001-07-11",2.569869,2.689869,2.509869,2.539869,611200
"2001-07-12",2.590313,2.710313,2.510313,2.580313,1081800
"2001-07-13",2.590313,2.660313,2.560313,2.580313,319100
"2001-07-16",2.646047,2.656047,2.546047,2.556047,547700
"2001-07-17",2.60178,2.63178,2.52178,2.53178,358500
"2001-07-18",2.54178,2.61178,2.41178,2.53178,851700
"2001-07-19",2.534135,2.674135,2.504135,2.564135,847900
