"","WFC.Open","WFC.High","WFC.Low","WFC.Close","WFC.Volume","WFC.Adjusted"
"2001-01-02",27.21875,27.40625,26.6875,26.96875,10616400,13.590449
"2001-01-03",26.4375,27,25,26.5625,25444200,13.385729
"2001-01-04",26.0625,26.65625,25.34375,26,17224200,13.102261
"2001-01-05",25.65625,26.3125,24.96875,26.1875,14437000,13.196745
"2001-01-08",25.8125,26.3125,25.71875,25.9375,9123600,13.070761
"2001-01-09",25.78125,26.15625,24.625,24.71875,11326800,12.456599
"2001-01-10",23.90625,24.8125,23.84375,24.34375,15362600,12.267623
"2001-01-11",24.75,25.28125,24.4375,24.625,11738200,12.409354
"2001-01-12",25.03125,25.03125,24.09375,24.34375,8525000,12.267623
"2001-01-16",24.375,25.09375,23.875,24.96875,14995200,12.582582
"2001-01-17",25.3125,25.40625,24.6875,24.6875,9124200,12.440852
"2001-01-18",24.875,24.875,24.15625,24.21875,8346600,12.20463
"2001-01-19",24.25,24.8125,24.03125,24.53125,9148400,12.362114
"2001-01-22",24.53125,25.0625,24.3125,24.8125,6294200,12.503843
"2001-01-23",24.84375,25.21875,24.65625,24.8125,9064800,12.503843
"2001-01-24",24.96875,25.375,24.75,25.09375,7102800,12.645576
"2001-01-25",25.125,25.4375,24.84375,25.3125,10620000,12.755803
"2001-01-26",25.53125,25.9375,25.28125,25.75,9104000,12.976285
"2001-01-29",25.875,26.139999,25.325001,25.565001,7106200,12.883052
"2001-01-30",25.809999,26.049999,25.305,25.955,8707400,13.079589
"2001-01-31",25.725,25.9,25.35,25.754999,6828200,13.099932
"2001-02-01",25.525,25.940001,24.875,25.200001,9373200,12.817637
"2001-02-02",24.975,25.299999,24.924999,25.120001,5189000,12.776944
"2001-02-05",25.440001,25.754999,25.225,25.68,5201000,13.061784
"2001-02-06",25.379999,25.59,25.135,25.445,5214800,12.942255
"2001-02-07",25.450001,25.76,25.25,25.370001,4983400,12.904112
"2001-02-08",25.475,25.77,25.465,25.549999,6306200,12.995661
"2001-02-09",25.549999,25.6,25.125,25.334999,6213800,12.886299
"2001-02-12",25.584999,25.73,25.299999,25.4,5967400,12.919367
"2001-02-13",25.424999,25.495001,24.875,24.995001,7284400,12.713368
"2001-02-14",25.275,25.49,24.975,25.139999,4532600,12.787121
"2001-02-15",25.174999,25.309999,24.799999,24.855,4475400,12.642155
"2001-02-16",24.85,25.35,24.799999,25.055,6796000,12.743882
"2001-02-20",25.275,25.280001,24.225,24.34,7583000,12.380212
"2001-02-21",24.34,24.6,23.9,24.01,7599000,12.212367
"2001-02-22",24.049999,24.200001,23.209999,24.075001,9636600,12.245424
"2001-02-23",24.014999,24.299999,23.424999,24.235001,6664400,12.326805
"2001-02-26",24.235001,24.84,23.889999,24.790001,7720200,12.609102
"2001-02-27",24.790001,25.165001,24.58,25.035,7209600,12.73371
