"","WHR.Open","WHR.High","WHR.Low","WHR.Close","WHR.Volume","WHR.Adjusted"
"2001-01-02",47.5625,48.1875,46.9375,47.25,534000,29.684528
"2001-01-03",47.25,49.5,46.75,49.5,573200,31.098099
"2001-01-04",50,51.125,49.625,50.3125,560700,31.608545
"2001-01-05",50.875,50.875,48.125,49.0625,581600,30.823231
"2001-01-08",48.625,49,47.125,48.9375,625700,30.744699
"2001-01-09",48.9375,49.25,47.25,47.6875,396300,29.959391
"2001-01-10",47.25,47.6875,45.875,47.4375,450900,29.80234
"2001-01-11",47.6875,49.375,46.1875,49.125,717900,30.862492
"2001-01-12",49.125,49.5,47,48.6875,400300,30.587631
"2001-01-16",48.5,48.6875,47.3125,48,574300,30.155714
"2001-01-17",48.5,49.125,48.125,48.375,394900,30.391314
"2001-01-18",48.375,49.5,48.375,49.375,421800,31.019569
"2001-01-19",49.25,49.3125,47.625,48.5,385400,30.469835
"2001-01-22",48.5,49.1875,47.5,49,394300,30.783966
"2001-01-23",49,49.75,48.8125,49.4375,406400,31.058832
"2001-01-24",50,50.375,49.4375,50.0625,733900,31.451483
"2001-01-25",50.375,50.9375,49.8125,50.1875,491600,31.530012
"2001-01-26",50.125,50.5,50,50.1875,405000,31.530012
"2001-01-29",50.200001,51.799999,50.009998,50.959999,542400,32.015331
"2001-01-30",50.709999,51.650002,49.549999,51.610001,469300,32.423687
"2001-01-31",51.700001,52.849998,51.700001,52.490002,682700,32.976528
"2001-02-01",54,54.25,51.799999,52.599998,568000,33.045647
"2001-02-02",52.599998,53.34,52,53.060001,380200,33.334641
"2001-02-05",52.759998,53.18,52.5,53,633300,33.296936
"2001-02-06",53,53.5,52.759998,53.240002,416300,33.447727
"2001-02-07",53.25,53.32,53,53.099998,316900,33.359783
"2001-02-08",53.25,53.25,52,53.220001,418000,33.435162
"2001-02-09",52.75,53.349998,52.650002,52.889999,451400,33.227848
"2001-02-12",52.900002,53.700001,52.700001,53.5,324600,33.611069
"2001-02-13",53.5,53.82,53.25,53.799999,588700,33.799534
"2001-02-14",54,54.299999,53.599998,53.959999,401900,33.900063
"2001-02-15",53.98,55.189999,53.779999,53.880001,463400,33.849812
"2001-02-16",53.5,54.889999,53.25,53.919998,404200,33.874924
"2001-02-20",54.5,54.740002,54.040001,54.34,318100,34.138794
"2001-02-21",54.34,54.5,53.450001,53.720001,453900,33.749283
"2001-02-22",53.73,53.73,51.549999,52.049999,510800,32.700108
"2001-02-23",52.099998,52.150002,51.07,51.5,592600,32.354561
"2001-02-26",51.75,53.099998,51,52.990002,527900,33.290668
"2001-02-27",53,53.099998,52.450001,52.720001,225300,33.121025
"2001-02-28",52.630001,53,52.540001,52.869999,356600,33.43087
"2001-03-01",52.75,52.799999,51.43,51.98,513000,32.868103
"2001-03-02",52,53.5,52,53.259998,358300,33.677486
"2001-03-05",53.259998,54.950001,53,54.389999,560800,34.392006
"2001-03-06",55.060001,55.5,55,55.189999,492400,34.89785
"2001-03-07",55.900002,56,55.630001,55.939999,377000,35.372101
"2001-03-08",55.990002,57.380001,55.959999,57.290001,378700,36.225735
"2001-03-09",56.400002,56.900002,56.259998,56.66,325100,35.827377
"2001-03-12",55.5,57.25,55.27,56.549999,584900,35.757824
