"","Open","High","Low","Close","Volume"
"2001-01-02",29.997028,30.622028,29.372028,29.684528,534000
"2001-01-03",28.848099,31.098099,28.348099,31.098099,573200
"2001-01-04",31.296045,32.421045,30.921045,31.608545,560700
"2001-01-05",32.635731,32.635731,29.885731,30.823231,581600
"2001-01-08",30.432199,30.807199,28.932199,30.744699,625700
"2001-01-09",31.209391,31.521891,29.521891,29.959391,396300
"2001-01-10",29.61484,30.05234,28.23984,29.80234,450900
"2001-01-11",29.424992,31.112492,27.924992,30.862492,717900
"2001-01-12",31.025131,31.400131,28.900131,30.587631,400300
"2001-01-16",30.655714,30.843214,29.468214,30.155714,574300
"2001-01-17",30.516314,31.141314,30.141314,30.391314,394900
"2001-01-18",30.019569,31.144569,30.019569,31.019569,421800
"2001-01-19",31.219835,31.282335,29.594835,30.469835,385400
"2001-01-22",30.283966,30.971466,29.283966,30.783966,394300
"2001-01-23",30.621332,31.371332,30.433832,31.058832,406400
"2001-01-24",31.388983,31.763983,30.826483,31.451483,733900
"2001-01-25",31.717512,32.280012,31.155012,31.530012,491600
"2001-01-26",31.467512,31.842512,31.342512,31.530012,405000
"2001-01-29",31.255333,32.855331,31.06533,32.015331,542400
"2001-01-30",31.523685,32.463688,30.363685,32.423687,469300
"2001-01-31",32.186527,33.336524,32.186527,32.976528,682700
"2001-02-01",34.445649,34.695649,32.245648,33.045647,568000
"2001-02-02",32.874638,33.61464,32.27464,33.334641,380200
"2001-02-05",33.056934,33.476936,32.796936,33.296936,633300
"2001-02-06",33.207725,33.707725,32.967723,33.447727,416300
"2001-02-07",33.509785,33.579785,33.259785,33.359783,316900
"2001-02-08",33.465161,33.465161,32.215161,33.435162,418000
"2001-02-09",33.087849,33.687847,32.987851,33.227848,451400
"2001-02-12",33.011071,33.81107,32.81107,33.611069,324600
"2001-02-13",33.499535,33.819535,33.249535,33.799534,588700
"2001-02-14",33.940064,34.240063,33.540062,33.900063,401900
"2001-02-15",33.949811,35.15981,33.74981,33.849812,463400
