"","WMT.Open","WMT.High","WMT.Low","WMT.Close","WMT.Volume","WMT.Adjusted"
"2001-01-02",53.125,55.0625,52.6875,53.875,8813600,37.760551
"2001-01-03",53.5,58.75,52.9375,58.4375,19957100,40.958359
"2001-01-04",57,58.1875,55.875,56.1875,13812300,39.381359
"2001-01-05",57.125,57.125,53.25,53.9375,9809200,37.804344
"2001-01-08",53,54.8125,52.875,53.9375,8442100,37.804344
"2001-01-09",53.5,54.75,52.5,52.75,7210800,36.972038
"2001-01-10",50.9375,52.0625,50.5,51.6875,9981400,36.227341
"2001-01-11",51.9375,53,50.8125,51.9375,6702400,36.402573
"2001-01-12",52,53.75,51.625,52.9375,7322000,37.103458
"2001-01-16",53.4375,54.8125,53.1875,54.6875,8331600,38.330017
"2001-01-17",54.5625,54.625,53.5625,53.9375,7814700,37.804344
"2001-01-18",53.4375,54.5,52.9375,53.0625,6877900,37.191071
"2001-01-19",52.0625,52.6875,50.4375,50.8125,8963300,35.614044
"2001-01-22",52.1875,53.6875,52,52.5625,7805700,36.840626
"2001-01-23",53,53.9375,52.5625,53.375,4917800,37.410107
"2001-01-24",53.4375,53.625,52.3125,53.5,7789400,37.497707
"2001-01-25",53.9375,56.125,52.9375,54,9057000,37.848148
"2001-01-26",54.9375,54.9375,53.0625,53.625,5230900,37.585297
"2001-01-29",53.700001,54.650002,53.700001,54.200001,5114200,37.988327
"2001-01-30",54.209999,54.25,53.16,53.77,5124200,37.686962
"2001-01-31",54.200001,57,54.040001,56.799999,10848100,39.810646
"2001-02-01",56.799999,56.799999,54.470001,55.700001,10385300,39.039688
"2001-02-02",55.970001,55.98,54.150002,54.759998,5065000,38.380825
"2001-02-05",55,55.220001,53.299999,53.84,5604200,37.736023
"2001-02-06",53.400002,54.490002,52.849998,53.200001,5394000,37.287441
"2001-02-07",53.209999,54.700001,53.200001,54.66,4928400,38.310738
"2001-02-08",54.549999,54.799999,51.560001,52.299999,7967800,36.656628
"2001-02-09",52.310001,53.349998,50.23,50.400002,7911400,35.324951
"2001-02-12",51,53.48,50.959999,53.450001,7287500,37.462658
"2001-02-13",53.049999,54.470001,52.029999,54.099998,7423200,37.918255
"2001-02-14",54.349998,54.349998,53,53,5095000,37.147255
"2001-02-15",53.349998,53.450001,51.650002,52,7636600,36.446362
"2001-02-16",51.799999,53.299999,51.560001,52.360001,6659400,36.698685
"2001-02-20",52.200001,54.290001,52,53.400002,9336500,37.427616
"2001-02-21",52.549999,52.959999,50.049999,50.209999,8164200,35.191776
"2001-02-22",51,51,48.950001,49.700001,9154300,34.834324
"2001-02-23",50,50.799999,48.049999,50.279999,8081600,35.240845
"2001-02-26",50.93,51.369999,50.450001,51.07,6060200,35.79454
"2001-02-27",51.599998,51.849998,49.52,50.990002,7047400,35.738476
"2001-02-28",51.240002,51.299999,49.040001,50.09,7748200,35.107662
"2001-03-01",49.25,49.869999,48,48.34,8692800,33.881096
"2001-03-02",47.990002,49.689999,47.5,48.919998,6472400,34.287624
"2001-03-05",48.939999,49.540001,48,48.369999,4568100,33.902134
"2001-03-06",49.5,49.959999,48.900002,49.549999,5096800,34.729183
"2001-03-07",50.049999,50.950001,49.919998,50.700001,5419900,35.535217
"2001-03-08",51.900002,51.900002,50.779999,51.650002,6034400,36.201042
"2001-03-09",51.799999,51.799999,50.099998,50.779999,5566500,35.59127
"2001-03-12",50.25,50.25,48.099998,48.310001,5740200,33.860073
"2001-03-13",49,49.299999,47.009998,48.799999,7959100,34.203526
"2001-03-14",47.099998,47.970001,46.529999,47.200001,8548900,33.082081
"2001-03-15",47.349998,48.490002,46.560001,47.849998,7509700,33.537655
"2001-03-16",47.849998,47.849998,46.560001,46.93,13859800,32.892822
"2001-03-19",46.990002,47.700001,46.700001,47.380001,5855800,33.208244
"2001-03-20",47.360001,49.48,47.360001,47.880001,10035600,33.558693
"2001-03-21",47.799999,49.77,47.279999,48.310001,8326900,33.909657
"2001-03-22",47.25,47.400002,45.91,46.91,11913900,32.926983
"2001-03-23",45.849998,47.91,45.200001,47.57,8282000,33.390232
"2001-03-26",48.900002,49.799999,48.299999,49.599998,6841800,34.815125
"2001-03-27",49.599998,50.400002,49.150002,50.290001,9784800,35.29945
"2001-03-28",50,50.130001,48.299999,49.66,6875900,34.85725
"2001-03-29",49.849998,50.650002,48.419998,50.619999,7754000,35.53109
"2001-03-30",51.099998,51.240002,49.5,50.5,8308400,35.446861
"2001-04-02",50,50.98,49.5,50.639999,7437900,35.54512
"2001-04-03",50.849998,51,48.77,49.189999,8692100,34.527336
"2001-04-04",48.720001,50.400002,48.700001,49.869999,7962100,35.004639
"2001-04-05",50.549999,50.689999,50.009998,50.540001,7790000,35.474945
"2001-04-06",50,51.32,49.509998,51.240002,7634400,35.96629
"2001-04-09",51.549999,51.790001,49.799999,50.299999,7287300,35.30648
"2001-04-10",51.150002,51.639999,50.77,50.84,6986500,35.685516
"2001-04-11",50.099998,50.700001,49.259998,50.23,6950300,35.257339
"2001-04-12",48.75,49.700001,47.41,49.700001,9872800,34.88533
"2001-04-16",49.700001,50.220001,48.709999,49.049999,6754500,34.429073
"2001-04-17",48.91,49.439999,48.509998,49.240002,6450800,34.562443
"2001-04-18",49.950001,52.939999,49.630001,52.73,12996900,37.012131
"2001-04-19",51.73,52.720001,51.700001,52.5,7043000,36.850689
"2001-04-20",52.490002,52.5,51.400002,51.709999,7266900,36.296169
"2001-04-23",52.049999,52.700001,51.650002,52.040001,5482800,36.527798
"2001-04-24",50.75,51.09,50.049999,50.099998,8175500,35.166088
"2001-04-25",51.099998,51.099998,50.029999,50.669998,5408400,35.566181
"2001-04-26",51,51.599998,50.549999,51.240002,5189400,35.96629
"2001-04-27",52.099998,53.200001,51.900002,52.830002,7764200,37.082329
"2001-04-30",53.299999,53.299999,51.220001,51.740002,6597800,36.317245
"2001-05-01",51.720001,53.549999,51.400002,53.5,7619000,37.552608
"2001-05-02",53.450001,53.450001,52.279999,53.080002,7689800,37.257805
"2001-05-03",52.299999,53.450001,52.029999,53.099998,7590700,37.271847
"2001-05-04",52.299999,53.700001,52.009998,53.02,7445400,37.215683
"2001-05-07",52.400002,52.939999,51.849998,52.049999,4717000,36.534828
"2001-05-08",51.75,51.990002,51.139999,51.98,4437600,36.485706
"2001-05-09",52.049999,52.200001,51.299999,51.59,5444300,36.211933
"2001-05-10",53.299999,53.700001,53.209999,53.419998,8215200,37.496456
"2001-05-11",53.970001,54.459999,53.349998,54.099998,6529600,37.97377
"2001-05-14",54.099998,54.75,53.84,54.349998,4800300,38.149254
