"","WU.Open","WU.High","WU.Low","WU.Close","WU.Volume","WU.Adjusted"
"2006-10-02",19.200001,20.08,19.17,19.76,7111800,14.846391
"2006-10-03",19.889999,20.040001,19.629999,20,11416000,15.026713
"2006-10-04",20,20.049999,19.5,19.780001,10722800,14.861425
"2006-10-05",19.950001,19.950001,19.59,19.639999,8782400,14.75623
"2006-10-06",19.700001,19.780001,19.32,19.57,6282100,14.703636
"2006-10-09",19.9,19.959999,19.51,19.73,3518000,14.823853
"2006-10-10",19.58,19.82,19.5,19.709999,6132200,14.808819
"2006-10-11",19.68,19.68,19.280001,19.309999,9504800,14.508287
"2006-10-12",19.42,19.42,18.950001,19.030001,8323700,14.29792
"2006-10-13",19,19.02,18.57,18.870001,10659500,14.177706
"2006-10-16",19.059999,19.219999,18.719999,18.74,9966300,14.080027
"2006-10-17",18.5,18.68,18.360001,18.58,4902400,13.959818
"2006-10-18",18.549999,19.120001,18.549999,19,6600200,14.27538
"2006-10-19",19.4,19.75,19.200001,19.5,8959200,14.651043
"2006-10-20",19.6,20,19.440001,19.629999,5712600,14.748719
"2006-10-23",19.66,19.879999,19.139999,19.58,6780900,14.711156
"2006-10-24",20,21,19.9,19.950001,14763500,14.989147
"2006-10-25",20.059999,22.200001,20.049999,21.85,11829500,16.416679
"2006-10-26",21.719999,23.040001,21.65,22.34,13490500,16.784847
"2006-10-27",22.1,22.34,21.52,21.950001,4564700,16.491816
"2006-10-30",21.98,22.200001,21.450001,22.110001,5795000,16.61203
"2006-10-31",22.49,22.780001,21.809999,22.049999,4165200,16.566952
"2006-11-01",22.15,22.58,21.940001,21.969999,8517800,16.506844
"2006-11-02",21.68,22.08,21.440001,21.83,7359000,16.401661
"2006-11-03",22.08,22.290001,21.34,21.540001,4821000,16.183771
"2006-11-06",22.049999,22.41,21.790001,22.23,5462100,16.702192
"2006-11-07",22.129999,22.940001,22.129999,22.5,5057500,16.90505
"2006-11-08",22.4,22.879999,22.219999,22.620001,4660200,16.995207
"2006-11-09",22.6,23.549999,22.5,23.280001,8630700,17.491095
"2006-11-10",23.280001,23.5,22.76,22.83,4421300,17.152996
"2006-11-13",23.200001,23.440001,22.879999,23.24,5379500,17.461042
"2006-11-14",23.48,23.549999,22.9,23.42,4358300,17.596281
"2006-11-15",23.629999,23.799999,23.309999,23.35,4149900,17.543682
"2006-11-16",23.5,23.799999,23.1,23.120001,4629000,17.370876
"2006-11-17",22.98,23.200001,22.65,22.68,4082900,17.040289
"2006-11-20",22.68,22.82,22.209999,22.51,3844400,16.912567
"2006-11-21",22.629999,22.84,22.540001,22.549999,4081200,16.942621
"2006-11-22",22.450001,22.66,22.360001,22.540001,2753500,16.935104
"2006-11-24",22.52,22.549999,22.360001,22.360001,886000,16.79987
"2006-11-27",22.17,22.370001,21.719999,21.85,4876600,16.416679
"2006-11-28",21.66,22.5,21.49,21.620001,4878100,16.243877
"2006-11-29",22.5,23.84,21.52,22.16,5716900,16.649597
"2006-11-30",22.190001,22.940001,22.09,22.799999,6002400,17.130455
"2006-12-01",22.41,22.85,22.41,22.85,4519400,17.16802
