"","Open","High","Low","Close","Volume"
"2001-01-02",28.347088,29.784588,27.409588,27.972088,1069500
"2001-01-03",27.419655,29.169655,26.794655,28.669655,1359400
"2001-01-04",27.979095,30.604095,27.604095,29.541595,1334500
"2001-01-05",30.561964,30.624464,27.686964,29.436964,1066500
"2001-01-08",30.03154,30.96904,28.15654,28.84404,1021300
"2001-01-09",29.402327,29.527327,27.402327,27.902327,761500
"2001-01-10",27.708977,28.208977,26.583977,28.146477,1180500
"2001-01-11",28.297705,28.422705,26.985205,27.797705,790400
"2001-01-12",28.392277,28.392277,26.642277,27.204777,652800
"2001-01-16",26.486588,28.736588,25.986588,28.111588,1447600
"2001-01-17",28.387814,28.387814,27.012814,27.762814,740900
"2001-01-18",27.761423,28.386423,26.886423,27.448923,498800
"2001-01-19",28.111841,28.174341,26.549341,26.611841,549900
"2001-01-22",25.752741,27.752741,24.940241,27.065241,1012700
"2001-01-23",27.398125,28.023125,26.835625,26.960625,543100
"2001-01-24",27.126354,27.813854,26.376354,26.751354,949400
"2001-01-25",25.687208,28.312208,25.687208,27.937208,1262500
"2001-01-26",28.213427,28.213427,26.713427,27.588427,927400
"2001-01-29",26.072773,28.052773,26.022774,28.002773,641400
"2001-01-30",27.685153,29.135154,26.705154,29.035152,742800
"2001-01-31",28.90444,30.004439,28.524439,29.524439,1448600
"2001-02-01",29.222473,30.312473,28.562473,29.912472,1336700
"2001-02-02",29.90068,29.950684,28.90068,29.490681,1029900
"2001-02-05",29.193753,29.823754,29.103753,29.743752,611400
"2001-02-06",29.840025,30.200026,29.370024,29.620024,855000
"2001-02-07",29.468105,30.038105,28.948105,29.828106,701900
"2001-02-08",30.283236,30.693236,28.143237,29.243235,787300
"2001-02-09",29.764017,29.764017,27.964018,28.574018,1010600
"2001-02-12",28.31145,29.001449,27.261447,28.911449,922500
"2001-02-13",28.338148,30.188146,27.948148,29.648149,1189600
"2001-02-14",29.705812,29.705812,28.255811,28.905813,743600
"2001-02-15",27.4124,30.442398,27.312397,30.182396,978800
"2001-02-16",29.823122,30.643122,29.233122,29.783121,1232900
"2001-02-20",29.972548,31.182547,29.222548,29.552546,715700
"2001-02-21",29.780777,30.430774,28.910778,29.130775,578700
"2001-02-22",28.968836,30.318839,28.968836,29.338835,909700
"2001-02-23",29.448917,30.148918,28.208915,28.978916,711900
"2001-02-26",28.432446,30.012448,28.432446,30.002445,706900
"2001-02-27",29.152447,30.552449,29.152447,30.002445,851400
"2001-02-28",30.031764,30.761764,29.641765,30.221767,824300
"2001-03-01",30.514973,30.724972,29.30497,29.844971,659100
"2001-03-02",29.294814,30.664813,29.294814,30.56481,779700
"2001-03-05",29.645774,32.095775,29.645774,31.745777,1116900
"2001-03-06",32.139643,32.229643,30.989641,31.239641,1110500
"2001-03-07",30.176865,32.726864,30.076862,32.476864,1020500
"2001-03-08",32.215042,32.785042,30.815045,32.235043,2142300
"2001-03-09",32.383217,33.463219,31.683221,32.083218,942300
"2001-03-12",33.702446,33.702446,29.852448,30.002445,1123300
"2001-03-13",29.330666,29.850667,28.230668,29.580666,1732800
"2001-03-14",29.557132,29.557132,28.267135,28.647133,1373400
"2001-03-15",29.03662,29.03662,27.996623,28.14662,1297100
"2001-03-16",28.171015,28.971014,27.871016,28.051016,1452900
"2001-03-19",27.899685,29.549687,27.899685,28.399685,787900
"2001-03-20",28.149474,30.089472,27.249472,29.299471,1403300
"2001-03-21",30.078441,30.078441,28.118442,28.298443,1002800
"2001-03-22",28.356119,28.80612,25.57612,27.55612,1919300
"2001-03-23",26.916095,28.146095,25.966094,27.736095,1007800
"2001-03-26",27.219708,29.149708,26.669709,28.309708,822800
"2001-03-27",27.482589,29.562587,27.052589,29.372589,1218600
"2001-03-28",28.830776,29.310776,27.030777,29.130775,985500
"2001-03-29",29.449684,30.099686,27.299687,28.399685,1588300
"2001-03-30",28.272772,29.452772,27.94277,28.562773,1179000
"2001-04-02",29.200435,30.350437,27.820438,27.820438,1070100
"2001-04-03",28.956122,28.956122,27.356119,27.55612,940000
"2001-04-04",27.472324,28.702328,27.372326,27.792324,1134200
"2001-04-05",28.136007,28.336008,27.666006,28.096006,978800
"2001-04-06",28.953756,28.953756,26.993757,26.993757,1144700
"2001-04-09",26.617935,28.617935,26.617935,27.797935,1485300
"2001-04-10",27.941935,29.651934,27.541933,29.501932,1354200
"2001-04-11",30.996311,30.996311,28.946312,29.496311,1293300
"2001-04-12",29.39641,30.296412,28.206411,29.046412,979100
"2001-04-16",28.855602,29.855602,28.555603,29.805603,1074400
"2001-04-17",29.918305,29.968304,28.718304,29.018303,887400
"2001-04-18",28.029243,31.129246,27.379246,30.289246,1283300
"2001-04-19",30.28432,30.424319,29.074321,29.974318,812700
"2001-04-20",30.65571,31.095709,29.165708,29.355711,884300
"2001-04-23",29.220069,30.310069,29.220069,29.530066,1186800
"2001-04-24",29.772557,30.782555,29.122555,29.462555,1404300
"2001-04-25",29.695104,29.795102,28.795102,29.305105,547800
"2001-04-26",28.674319,30.134318,28.274317,29.974318,980700
"2001-04-27",29.513614,30.543612,29.513614,30.37361,1388800
"2001-04-30",30.260776,32.260776,30.260776,31.790775,1564600
"2001-05-01",31.643233,32.303233,30.553233,31.993231,1239000
"2001-05-02",31.704003,32.654004,30.824002,32.384003,1194100
"2001-05-03",32.847048,32.847048,31.107051,31.727049,756200
"2001-05-04",30.288712,32.388715,29.848714,32.338711,804600
"2001-05-07",32.313937,33.563937,31.463939,31.913935,771700
"2001-05-08",31.905252,32.655252,31.905252,31.925253,724300
"2001-05-09",32.000321,32.670319,31.37032,31.840321,902900
"2001-05-10",31.469669,32.48967,31.469669,32.389668,740800
"2001-05-11",32.581807,32.641804,31.131806,32.151806,976100
"2001-05-14",31.538967,32.538967,31.288967,32.468967,640700
"2001-05-15",31.85276,33.022758,31.642761,32.842762,1150200
"2001-05-16",31.311978,35.321976,30.671974,34.841976,2167300
"2001-05-17",34.442158,36.59216,34.302159,35.142159,2764500
"2001-05-18",35.425797,36.015797,34.025795,34.575794,1571100
"2001-05-21",34.686511,34.836513,33.336513,34.496513,1351000
"2001-05-22",34.40609,34.416088,33.356091,33.42609,1038900
"2001-05-23",33.484165,34.284164,33.124164,33.324165,1012400
