"","Open","High","Low","Close","Volume"
"2002-09-25",14.888063,14.888063,14.888063,14.888063,1000
"2002-09-26",14.865479,15.165479,14.865479,15.165479,111900
"2002-09-27",15.038063,15.088062,14.838062,14.888063,37100
"2002-09-30",14.701502,15.951502,14.501502,15.951502,903300
"2002-10-01",15.936878,16.386877,15.516878,15.516878,662400
"2002-10-02",15.598174,15.598174,14.168173,14.518173,592100
"2002-10-03",14.338063,15.168062,14.338063,14.888063,650400
"2002-10-04",14.819678,14.919678,14.369678,14.499678,380200
"2002-10-07",14.620864,14.870864,13.870864,13.870864,594700
"2002-10-08",13.343129,13.343129,12.713129,12.983129,416600
"2002-10-09",13.04614,13.19614,12.89614,12.94614,291800
"2002-10-10",12.934533,12.984533,12.214533,12.474533,739900
"2002-10-11",12.56625,12.85625,12.42625,12.57625,487200
"2002-10-14",12.333346,13.313346,12.333346,13.103346,166200
"2002-10-15",12.99463,13.85463,12.99463,13.82463,318500
"2002-10-16",13.78485,13.88485,13.05485,13.08485,274100
"2002-10-17",13.066786,13.396786,13.056786,13.306786,1012300
"2002-10-18",13.288932,13.818932,13.088932,13.648932,342600
"2002-10-21",13.43818,13.82818,13.38818,13.65818,263500
"2002-10-22",13.613342,13.963342,13.463342,13.963342,279900
"2002-10-23",13.945273,14.225273,13.845273,14.185273,372600
"2002-10-24",14.134732,14.314732,14.094732,14.314732,395500
"2002-10-25",14.323015,14.323015,13.893015,14.213015,265100
"2002-10-28",14.194517,14.264517,14.094517,14.194517,442600
"2002-10-29",14.195273,14.195273,14.045273,14.185273,202200
"2002-10-30",14.145591,14.875591,14.145591,14.795591,197100
"2002-10-31",14.803117,14.833118,14.703117,14.703117,257100
"2002-11-01",14.695591,14.795591,14.515591,14.795591,159800
"2002-11-04",14.776878,14.906878,14.556878,14.656878,120800
"2002-11-05",14.674946,14.674946,14.274946,14.434946,252700
"2002-11-06",14.479464,14.559464,14.329464,14.379464,190700
"2002-11-07",14.327958,14.477958,13.877958,14.397958,207000
"2002-11-08",14.353342,14.353342,13.663342,13.963342,78600
"2002-11-11",13.70957,14.01957,13.57957,14.00957,41500
"2002-11-12",13.941832,14.011832,13.781832,13.981832,43400
"2002-11-13",14.020977,14.020977,13.500977,13.500977,395300
"2002-11-14",13.494201,13.724201,13.344201,13.584201,58500
"2002-11-15",13.450977,13.610977,13.160977,13.500977,149700
"2002-11-18",13.423449,13.593449,13.073449,13.593449,181400
"2002-11-19",13.515923,13.695923,13.405923,13.685923,199700
"2002-11-20",13.649786,14.129786,13.649786,14.129786,236900
"2002-11-21",14.110326,14.200326,13.760326,14.000326,306100
"2002-11-22",14.054306,14.184306,13.974306,14.074306,260100
"2002-11-25",14.049464,14.429464,14.049464,14.379464,280800
"2002-11-26",14.320754,14.410754,14.200754,14.240754,29200
"2002-11-27",14.208497,14.338497,14.188497,14.268497,47400
"2002-11-29",14.231832,14.361832,13.981832,13.981832,61700
"2002-12-02",14.308385,14.818385,14.158385,14.638385,293300
"2002-12-03",14.659142,14.759142,14.329142,14.629142,228900
"2002-12-04",14.652041,15.08204,14.502041,14.962041,176900
"2002-12-05",14.950208,15.310206,14.940207,15.230206,168000
"2002-12-06",15.090634,15.720634,15.060634,15.470634,400600
"2002-12-09",15.431607,15.941605,15.251606,15.581606,333900
"2002-12-10",15.518809,15.73881,15.31881,15.73881,114500
"2002-12-11",15.655371,15.835371,15.515372,15.53537,147100
"2002-12-12",15.488695,16.238695,15.488695,16.108696,156900
"2002-12-13",15.982668,16.38267,15.96267,16.182669,353100
"2002-12-16",16.139248,16.579246,15.899248,15.979248,304600
"2002-12-17",16.000851,16.180852,15.480851,15.590852,115200
"2002-12-18",15.522899,15.592898,15.162898,15.442899,184400
"2002-12-19",15.347842,15.817841,15.227841,15.627841,222400
"2002-12-20",15.704188,15.954188,15.304186,15.304186,110400
"2002-12-23",15.17031,15.720309,15.17031,15.720309,415400
"2002-12-24",15.641815,15.921816,15.571815,15.701815,65400
"2002-12-26",15.621815,15.721815,15.281814,15.701815,114700
"2002-12-27",15.72483,15.80483,15.57483,15.664831,94500
"2002-12-30",15.679661,16.219662,15.539662,16.219662,137400
"2002-12-31",16.152567,16.652567,15.952566,16.552567,187200
"2003-01-02",16.513424,17.033424,16.513424,17.033424,224300
"2003-01-03",17.051285,17.091286,16.691284,16.691284,103200
"2003-01-06",16.371391,16.52139,16.221389,16.32139,116800
"2003-01-07",16.243975,16.423976,15.763976,16.043976,46200
"2003-01-08",15.939453,16.289453,15.939453,16.099453,79600
"2003-01-09",16.117517,16.307517,15.817518,15.877517,113900
