"","XRAY.Open","XRAY.High","XRAY.Low","XRAY.Close","XRAY.Volume","XRAY.Adjusted"
"2001-01-02",13.125,13.333333,12.958333,13,869000,11.362387
"2001-01-03",12.958333,13,11.854167,12.333333,1373400,10.779704
"2001-01-04",12.083333,12.333333,11.083333,11.541667,713600,10.087765
"2001-01-05",11.666667,11.75,11.541667,11.666667,784400,10.197021
"2001-01-08",11.5625,12.145833,11.458333,12.020833,953400,10.506568
"2001-01-09",12.0625,12.0625,11.5,11.666667,413000,10.197021
"2001-01-10",11.5,11.666667,11.416667,11.520833,888800,10.069549
"2001-01-11",11.416667,11.666667,11.270833,11.270833,841800,9.851044
"2001-01-12",11.333333,11.333333,10.833333,11.291667,3781200,9.869255
"2001-01-16",11.416667,11.5104,11.25,11.364567,484200,9.932971
"2001-01-17",11.583333,11.770833,11.333333,11.5,836600,10.051339
"2001-01-18",11.8125,11.8125,11.458333,11.708333,850200,10.233432
"2001-01-19",11.8125,12.041667,11.416667,11.833333,1585400,10.342688
"2001-01-22",12.041667,12.208333,11.729167,12.125,718200,10.597609
"2001-01-23",12.041667,12.125,11.875,11.916667,1137000,10.415524
"2001-01-24",12,12.166667,11.583333,11.7552,1590000,10.274398
"2001-01-25",11.666667,11.875,11.625,11.770833,516000,10.288062
"2001-01-26",11.833333,12.375,11.666667,12.161433,684200,10.629457
"2001-01-29",12.375,12.375,11.75,12,1003400,10.488357
"2001-01-30",11.911433,12.25,11.770833,12.0156,842000,10.501991
"2001-01-31",11.916667,12.208333,11.458333,11.520833,694800,10.069549
"2001-02-01",11.458333,12.125,11.458333,11.875,1241000,10.379107
"2001-02-02",11.708333,12.166667,11.625,11.869766,383600,10.374531
"2001-02-05",12.166667,12.416667,11.6875,12.020833,702600,10.506568
"2001-02-06",12,12.125,11.875,11.916667,469400,10.415524
"2001-02-07",11.833333,12.125,11.625,12.104167,1196000,10.579405
"2001-02-08",12.041667,12.125,12,12.125,236400,10.597609
"2001-02-09",12.125,12.208333,12,12.1875,621600,10.652241
"2001-02-12",12.125,12.5,12.041667,12.5,475400,10.925381
"2001-02-13",12.375,12.8125,12.375,12.583333,340800,10.998205
"2001-02-14",12.541667,12.75,12.541667,12.708333,703200,11.107467
"2001-02-15",12.708333,13,12.666667,12.875,480800,11.253135
"2001-02-16",12.75,12.895833,12.479167,12.666667,391200,11.071047
"2001-02-20",12.5,12.75,12.416667,12.75,394800,11.143884
"2001-02-21",12.541667,12.708333,12.5,12.708333,461000,11.107467
"2001-02-22",12.666667,12.729167,11.916667,12.4375,650000,10.870746
"2001-02-23",12.208333,12.520833,12.104167,12.5,641600,10.925381
"2001-02-26",12.25,12.666667,12.25,12.604167,701000,11.016418
"2001-02-27",12.536433,12.541667,12.25,12.395833,408200,10.834329
"2001-02-28",12.5,12.541667,12.166667,12.541667,570200,10.961794
"2001-03-01",12.208333,12.583333,12.041667,12.520833,400400,10.94358
"2001-03-02",12.479167,12.75,12.416667,12.708333,810200,11.107467
"2001-03-05",12.75,12.875,12.520833,12.770833,240600,11.16209
"2001-03-06",12.666667,13.088533,12.583333,13.020833,449600,11.380602
"2001-03-07",12.875,13.0625,12.645833,12.666667,423200,11.071047
"2001-03-08",12.739567,12.791667,12.416667,12.666667,635000,11.071047
"2001-03-09",12.416667,12.666667,12.333333,12.458333,454400,10.888954
