"","XRX.Open","XRX.High","XRX.Low","XRX.Close","XRX.Volume","XRX.Adjusted"
"2001-01-02",12.516469,13.669302,12.351779,13.504611,2629100,11.463882
"2001-01-03",13.339921,14.163373,12.681159,13.833992,3205600,11.743486
"2001-01-04",14.163373,16.304348,13.339921,16.139658,3525500,13.700738
"2001-01-05",16.96311,16.96311,15.480896,15.645586,2093700,13.281322
"2001-01-08",15.810277,16.798418,15.151515,16.798418,1467300,14.259951
"2001-01-09",16.469038,16.469038,14.822134,15.480896,3463500,13.141521
"2001-01-10",15.810277,18.774704,15.480896,18.774704,5203000,15.937591
"2001-01-11",18.939394,19.104084,17.786562,17.951252,2391500,15.238579
"2001-01-12",18.610014,20.586298,18.280632,20.586298,3629400,17.475428
"2001-01-16",21.080368,21.24506,18.445322,19.433466,2673800,16.496809
"2001-01-17",20.092226,20.915678,19.927536,20.421608,1408700,17.335629
"2001-01-18",20.421608,20.586298,19.268774,19.598156,1343400,16.636606
"2001-01-19",19.762846,19.927536,19.433466,19.927536,950900,16.916216
"2001-01-22",19.762846,19.927536,18.610014,18.610014,1288300,15.79779
"2001-01-23",18.939394,19.927536,18.774704,19.433466,1341100,16.496809
"2001-01-24",19.762846,20.256916,19.598156,19.927536,1039800,16.916216
"2001-01-25",19.762846,20.092226,18.610014,19.762846,1149100,16.776413
"2001-01-26",19.433466,19.927536,17.786562,18.115942,1574400,15.378379
"2001-01-29",18.445322,21.080368,18.102766,20.922266,2852200,17.760626
"2001-01-30",21.054018,22.134388,20.816864,21.13307,4051300,17.939577
"2001-01-31",21.212122,22.134388,21.13307,21.528326,1722000,18.275105
"2001-02-01",21.528326,22.371542,21.15942,22.213438,1162600,18.856684
"2001-02-02",22.345192,22.793148,21.264822,21.76548,1439600,18.476423
"2001-02-05",21.76548,21.923584,20.289856,20.869566,1264200,17.715887
"2001-02-06",20.316206,20.316206,19.367588,19.47299,1654600,16.530354
"2001-02-07",19.051384,19.104084,17.654808,18.208168,1804600,15.456666
"2001-02-08",18.23452,19.130434,18.23452,18.498024,1011300,15.702724
"2001-02-09",18.445322,18.445322,17.575758,18.31357,1075700,15.546142
"2001-02-12",18.31357,18.418972,17.76021,17.786562,1012900,15.098771
"2001-02-13",17.918314,18.761528,17.839262,18.102766,849900,15.367194
"2001-02-14",18.102766,20.368906,18.050066,19.631094,1712100,16.664568
"2001-02-15",19.894598,20.079052,19.077734,19.077734,784600,16.194828
"2001-02-16",19.104084,19.104084,18.445322,18.84058,1005700,15.993511
"2001-02-20",18.735178,18.972332,18.181818,18.33992,848900,15.568508
"2001-02-21",18.31357,18.392622,17.76021,17.786562,504600,15.098771
"2001-02-22",17.391304,17.523056,16.864296,17.259552,1144600,14.651402
"2001-02-23",17.523056,17.523056,16.126482,16.231884,1358700,13.779022
"2001-02-26",16.495388,16.60079,16.100132,16.152832,1220800,13.711923
"2001-02-27",16.205534,17.075098,15.889328,15.99473,1581300,13.619868
"2001-02-28",15.810277,15.99473,15.546772,15.915679,1583100,13.665115
"2001-03-01",15.678524,15.783926,14.86166,15.125165,2430800,12.986384
"2001-03-02",16.073782,18.392622,15.99473,17.654808,2145800,15.158324
"2001-03-05",17.206852,18.392622,17.15415,17.812912,965200,15.294069
"2001-03-06",18.102766,18.708828,18.102766,18.208168,1107000,15.633433
"2001-03-07",18.366272,19.47299,18.076416,19.288538,1452500,16.561029
"2001-03-08",19.762846,19.868248,18.445322,18.524374,1124400,15.904928
