"","Open","High","Low","Close","Volume"
"2001-01-02",10.47574,11.628573,10.31105,11.463882,2629100
"2001-01-03",11.249415,12.072867,10.590653,11.743486,3205600
"2001-01-04",11.724453,13.865428,10.901001,13.700738,3525500
"2001-01-05",14.598846,14.598846,13.116632,13.281322,2093700
"2001-01-08",13.27181,14.259951,12.613048,14.259951,1467300
"2001-01-09",14.129663,14.129663,12.482759,13.141521,3463500
"2001-01-10",12.973164,15.937591,12.643783,15.937591,5203000
"2001-01-11",16.226721,16.391411,15.073889,15.238579,2391500
"2001-01-12",15.499144,17.475428,15.169762,17.475428,3629400
"2001-01-16",18.143711,18.308403,15.508665,16.496809,2673800
"2001-01-17",17.006247,17.829699,16.841557,17.335629,1408700
"2001-01-18",17.460058,17.624748,16.307224,16.636606,1343400
"2001-01-19",16.751526,16.916216,16.422146,16.916216,950900
"2001-01-22",16.950622,17.115312,15.79779,15.79779,1288300
"2001-01-23",16.002737,16.990879,15.838047,16.496809,1341100
"2001-01-24",16.751526,17.245596,16.586836,16.916216,1039800
"2001-01-25",16.776413,17.105793,15.623581,16.776413,1149100
"2001-01-26",16.695903,17.189973,15.048999,15.378379,1574400
"2001-01-29",15.283682,17.918728,14.941126,17.760626,2852200
"2001-01-30",17.860525,18.940895,17.623371,17.939577,4051300
"2001-01-31",17.958901,18.881167,17.879849,18.275105,1722000
"2001-02-01",18.171572,19.014788,17.802666,18.856684,1162600
"2001-02-02",19.056135,19.504091,17.975765,18.476423,1439600
"2001-02-05",18.611801,18.769905,17.136177,17.715887,1264200
"2001-02-06",17.37357,17.37357,16.424952,16.530354,1654600
"2001-02-07",16.299882,16.352582,14.903306,15.456666,1804600
"2001-02-08",15.43922,16.335134,15.43922,15.702724,1011300
"2001-02-09",15.677894,15.677894,14.80833,15.546142,1075700
"2001-02-12",15.625779,15.731181,15.072419,15.098771,1012900
"2001-02-13",15.182742,16.025956,15.10369,15.367194,849900
"2001-02-14",15.13624,17.40238,15.08354,16.664568,1712100
"2001-02-15",17.011692,17.196146,16.194828,16.194828,784600
"2001-02-16",16.257015,16.257015,15.598253,15.993511,1005700
"2001-02-20",15.963766,16.20092,15.410406,15.568508,848900
"2001-02-21",15.625779,15.704831,15.072419,15.098771,504600
"2001-02-22",14.783154,14.914906,14.256146,14.651402,1144600
"2001-02-23",15.070194,15.070194,13.67362,13.779022,1358700
"2001-02-26",14.054479,14.159881,13.659223,13.711923,1220800
"2001-02-27",13.830672,14.700236,13.514466,13.619868,1581300
"2001-02-28",13.559713,13.744166,13.296208,13.665115,1583100
"2001-03-01",13.539743,13.645145,12.722879,12.986384,2430800
"2001-03-02",13.577298,15.896138,13.498246,15.158324,2145800
"2001-03-05",14.688009,15.873779,14.635307,15.294069,965200
"2001-03-06",15.528031,16.134093,15.528031,15.633433,1107000
"2001-03-07",15.638763,16.745481,15.348907,16.561029,1452500
"2001-03-08",17.1434,17.248802,15.825876,15.904928,1124400
"2001-03-09",16.02789,16.02789,14.815768,15.158324,986600
"2001-03-12",14.907852,14.907852,13.906534,13.959234,1205500
"2001-03-13",13.968534,13.968534,12.782763,12.782763,1843500
"2001-03-14",12.708241,13.498754,12.523787,13.23525,1504300
"2001-03-15",13.147142,13.384296,12.330277,12.330277,2324500
"2001-03-16",12.513125,12.513125,11.380055,11.380055,2102500
"2001-03-19",11.686421,12.476935,11.581019,12.23978,1297400
"2001-03-20",12.463368,14.545054,12.331616,13.122129,2465900
"2001-03-21",13.355825,14.278091,12.960568,13.303124,1679000
"2001-03-22",13.99089,13.99089,12.488913,12.647016,1048600
"2001-03-23",12.80646,13.544273,12.648357,13.438871,1090100
"2001-03-26",13.814158,13.893209,12.760139,12.760139,1772700
"2001-03-27",13.151939,13.389094,12.809383,12.941136,1178600
"2001-03-28",12.901757,14.140228,12.849056,14.140228,2011500
"2001-03-29",13.77344,13.931543,12.982926,13.167379,703800
"2001-03-30",13.130384,13.710094,12.735127,13.551991,853700
"2001-04-02",13.574616,13.574616,12.309794,13.574616,949700
"2001-04-03",12.780087,12.780087,10.67205,11.199059,3030000
"2001-04-04",11.068645,11.990911,10.488935,11.990911,2672100
"2001-04-05",12.611876,12.664577,11.663259,11.900414,978200
"2001-04-06",11.659267,11.764669,11.000505,11.764669,1229300
"2001-04-09",11.501433,11.92304,11.475082,11.92304,768200
"2001-04-10",11.859695,12.465756,11.59619,12.307653,906000
"2001-04-11",12.240586,13.0311,12.240586,12.714894,1041500
"2001-04-12",12.881248,13.197454,12.538692,13.144753,760000
"2001-04-16",13.125854,13.178555,12.756948,13.099504,569900
"2001-04-17",12.70559,13.996762,12.67924,13.891362,1057200
"2001-04-18",14.084333,14.822147,13.899879,14.479591,1656700
"2001-04-19",16.446631,21.057961,16.446631,20.135695,9313300
"2001-04-20",19.667748,20.774468,19.114388,19.456944,4085800
"2001-04-23",19.566053,19.697805,17.194511,17.194511,2379500
"2001-04-24",17.407192,18.540262,17.143686,18.303108,1410900
"2001-04-25",18.533083,19.139143,18.295929,18.506733,1138100
"2001-04-26",18.570076,19.149786,17.911314,18.122118,1320100
"2001-04-27",18.347311,20.033741,18.320961,19.954689,1625200
"2001-04-30",19.951771,20.610533,19.951771,20.452429,1797000
"2001-05-01",20.026579,22.398119,20.026579,22.398119,2399400
"2001-05-02",22.792032,23.34539,21.527208,21.60626,2619600
"2001-05-03",21.204899,22.522421,20.519787,22.443371,1986000
"2001-05-04",21.893461,22.341419,21.550905,22.262367,1245400
"2001-05-07",22.206217,22.680525,22.021763,22.443371,811500
"2001-05-08",22.830637,23.120491,21.407711,22.171875,1155700
"2001-05-09",21.438587,22.624359,21.438587,22.624359,990300
"2001-05-10",22.763571,23.422331,22.025757,22.579117,865700
"2001-05-11",22.598551,22.941107,22.440447,22.941107,1397300
"2001-05-14",22.624359,23.204069,22.518957,22.624359,810800
"2001-05-15",22.38216,24.09494,22.197706,24.09494,1457600
"2001-05-16",23.369116,24.923792,23.10561,24.502186,1671800
"2001-05-17",24.144724,25.172392,23.93392,24.592682,1276200
"2001-05-18",24.41968,24.683186,23.892672,24.683186,1013200
"2001-05-21",24.49288,25.678652,24.361128,25.678652,1283200
"2001-05-22",24.97995,24.97995,23.26717,24.321188,2823000
