,XRAY.Open,XRAY.High,XRAY.Low,XRAY.Close,XRAY.Volume,XRAY.Adjusted,Y,Diff,Class
1/2/2001,13.125,13.333333,12.958333,13,869000,11.362387,12.333333,0.666667,0
1/3/2001,12.958333,13,11.854167,12.333333,1373400,10.779704,11.541667,0.791666,0
1/4/2001,12.083333,12.333333,11.083333,11.541667,713600,10.087765,11.666667,-0.125,1
1/5/2001,11.666667,11.75,11.541667,11.666667,784400,10.197021,12.020833,-0.354166,1
1/8/2001,11.5625,12.145833,11.458333,12.020833,953400,10.506568,11.666667,0.354166,0
1/9/2001,12.0625,12.0625,11.5,11.666667,413000,10.197021,11.520833,0.145834,0
1/10/2001,11.5,11.666667,11.416667,11.520833,888800,10.069549,11.270833,0.25,0
1/11/2001,11.416667,11.666667,11.270833,11.270833,841800,9.851044,11.291667,-0.020834,1
1/12/2001,11.333333,11.333333,10.833333,11.291667,3781200,9.869255,11.364567,-0.0729,1
1/16/2001,11.416667,11.5104,11.25,11.364567,484200,9.932971,11.5,-0.135433,1
1/17/2001,11.583333,11.770833,11.333333,11.5,836600,10.051339,11.708333,-0.208333,1
1/18/2001,11.8125,11.8125,11.458333,11.708333,850200,10.233432,11.833333,-0.125,1
1/19/2001,11.8125,12.041667,11.416667,11.833333,1585400,10.342688,12.125,-0.291667,1
1/22/2001,12.041667,12.208333,11.729167,12.125,718200,10.597609,11.916667,0.208333,0
1/23/2001,12.041667,12.125,11.875,11.916667,1137000,10.415524,11.7552,0.161467,0
1/24/2001,12,12.166667,11.583333,11.7552,1590000,10.274398,11.770833,-0.015633,1
1/25/2001,11.666667,11.875,11.625,11.770833,516000,10.288062,12.161433,-0.3906,1
1/26/2001,11.833333,12.375,11.666667,12.161433,684200,10.629457,12,0.161433,0
1/29/2001,12.375,12.375,11.75,12,1003400,10.488357,12.0156,-0.0156,1
1/30/2001,11.911433,12.25,11.770833,12.0156,842000,10.501991,11.520833,0.494767,0
1/31/2001,11.916667,12.208333,11.458333,11.520833,694800,10.069549,11.875,-0.354167,1
2/1/2001,11.458333,12.125,11.458333,11.875,1241000,10.379107,11.869766,0.005234,0
2/2/2001,11.708333,12.166667,11.625,11.869766,383600,10.374531,12.020833,-0.151067,1
2/5/2001,12.166667,12.416667,11.6875,12.020833,702600,10.506568,11.916667,0.104166,0
2/6/2001,12,12.125,11.875,11.916667,469400,10.415524,12.104167,-0.1875,1
2/7/2001,11.833333,12.125,11.625,12.104167,1196000,10.579405,12.125,-0.020833,1
2/8/2001,12.041667,12.125,12,12.125,236400,10.597609,12.1875,-0.0625,1
2/9/2001,12.125,12.208333,12,12.1875,621600,10.652241,12.5,-0.3125,1
2/12/2001,12.125,12.5,12.041667,12.5,475400,10.925381,12.583333,-0.083333,1
2/13/2001,12.375,12.8125,12.375,12.583333,340800,10.998205,12.708333,-0.125,1
2/14/2001,12.541667,12.75,12.541667,12.708333,703200,11.107467,12.875,-0.166667,1
2/15/2001,12.708333,13,12.666667,12.875,480800,11.253135,12.666667,0.208333,0
2/16/2001,12.75,12.895833,12.479167,12.666667,391200,11.071047,12.75,-0.083333,1
2/20/2001,12.5,12.75,12.416667,12.75,394800,11.143884,12.708333,0.041667,0
2/21/2001,12.541667,12.708333,12.5,12.708333,461000,11.107467,12.4375,0.270833,0
2/22/2001,12.666667,12.729167,11.916667,12.4375,650000,10.870746,12.5,-0.0625,1
2/23/2001,12.208333,12.520833,12.104167,12.5,641600,10.925381,12.604167,-0.104167,1
2/26/2001,12.25,12.666667,12.25,12.604167,701000,11.016418,12.395833,0.208334,0
2/27/2001,12.536433,12.541667,12.25,12.395833,408200,10.834329,12.541667,-0.145834,1
2/28/2001,12.5,12.541667,12.166667,12.541667,570200,10.961794,12.520833,0.020834,0
3/1/2001,12.208333,12.583333,12.041667,12.520833,400400,10.94358,12.708333,-0.1875,1
3/2/2001,12.479167,12.75,12.416667,12.708333,810200,11.107467,12.770833,-0.0625,1
3/5/2001,12.75,12.875,12.520833,12.770833,240600,11.16209,13.020833,-0.25,1
3/6/2001,12.666667,13.088533,12.583333,13.020833,449600,11.380602,12.666667,0.354166,0
3/7/2001,12.875,13.0625,12.645833,12.666667,423200,11.071047,12.666667,0,1
3/8/2001,12.739567,12.791667,12.416667,12.666667,635000,11.071047,12.458333,0.208334,0
3/9/2001,12.416667,12.666667,12.333333,12.458333,454400,10.888954,12.479167,-0.020834,1
3/12/2001,12.416667,12.604167,12.270833,12.479167,495000,10.907167,12.5,-0.020833,1
3/13/2001,12.416667,12.666667,12.416667,12.5,674000,10.925381,12.3125,0.1875,0
3/14/2001,12.208333,12.583333,12.161433,12.3125,1055600,10.7615,12.166667,0.145833,0
3/15/2001,12.411433,12.583333,11.979167,12.166667,756000,10.634031,12.041667,0.125,0
3/16/2001,12.208333,12.333333,12,12.041667,723000,10.524777,12.166667,-0.125,1
3/19/2001,12.0625,12.166667,11.833333,12.166667,401400,10.634031,12.1875,-0.020833,1
3/20/2001,12.208333,12.223933,12.104167,12.1875,852200,10.652241,11.625,0.5625,0
3/21/2001,12.125,12.125,11.375,11.625,239000,10.160603,11.333333,0.291667,0
3/22/2001,11.614567,11.625,11.041667,11.333333,513200,9.905673,11.708333,-0.375,1
3/23/2001,11.104167,11.729167,11.083333,11.708333,292200,10.233432,11.604167,0.104166,0
3/26/2001,11.520833,11.75,11.354167,11.604167,564200,10.142389,11.666667,-0.0625,1
3/27/2001,11.604167,11.6875,11.416667,11.666667,654200,10.197021,11.4375,0.229167,0
3/28/2001,11.541667,11.604167,11.333333,11.4375,1369200,9.996719,12.083333,-0.645833,1
3/29/2001,11.479167,12.145833,11.479167,12.083333,1169000,10.582431,12.166667,-0.083334,1
3/30/2001,12.041667,12.375,11.958333,12.166667,1704200,10.655412,12.125,0.041667,0
4/2/2001,11.958333,12.416667,11.770833,12.125,1154600,10.618917,12,0.125,0
4/3/2001,12.104167,12.1354,11.666667,12,884000,10.509447,12.1875,-0.1875,1
4/4/2001,11.770833,12.416667,11.75,12.1875,591000,10.673656,12.520833,-0.333333,1
4/5/2001,12.333333,12.625,12.041667,12.520833,433400,10.965587,12.218734,0.302099,0
4/6/2001,12.291667,12.5,12.145833,12.218734,339000,10.701009,12.406667,-0.187933,1
4/9/2001,12.3,12.5,12.2,12.406667,423600,10.865602,12.5,-0.093333,1
4/10/2001,12.373333,12.546667,12.173333,12.5,525000,10.947339,12.18,0.32,0
4/11/2001,12.5,12.5,12.106667,12.18,438800,10.667089,12.293333,-0.113333,1
